place,title,time,pay,date
서울 강서구,노랑통닭 화곡역점,18:00~24:00,"시급10,000",10분전
서울 강서구,노랑통닭 화곡역점,16:30~02:30,"월급2,400,000",10분전
서울 은평구,노랑통닭 역촌점,18:00~23:00,"시급12,000",23분전
경기 수원시,노랑통닭 망포점,17:30~23:30,"월급2,000,000",27분전
경기 평택시,노랑통닭 평택포승점,18:00~21:00,"시급9,000",29분전
서울 강북구,노랑통닭 미아점,15:30~02:30,"월급2,600,000",52분전
서울 은평구,노랑통닭 연신내점,18:00~22:00,"시급8,720",56분전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",1시간전
경기 안양시,노랑통닭 인덕원역점,15:00~02:00,"월급2,800,000",1시간전
경기 안양시,노랑통닭 인덕원역점,15:00~02:00,"월급2,800,000",1시간전
서울 중랑구,노랑통닭 면목점,16:00~02:00,"월급2,500,000",1시간전
서울 중랑구,노랑통닭 면목점,16:00~02:00,"월급2,500,000",1시간전
경기 의정부,노랑통닭 의정부 신곡점,02:00~12:00,"월급2,500,000",2시간전
인천 중구,노랑통닭 영종하늘도시점,17:00~24:00,"시급8,720",2시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",2시간전
경기 성남시,노랑통닭 노랑통닭 위례점,15:00~01:00,"월급2,600,000",2시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",2시간전
경기 성남시,노랑통닭 노랑통닭 위례점,19:00~00:00,"시급9,000",2시간전
서울 강북구,노랑통닭 미아점,15:30~02:30,"월급2,600,000",2시간전
서울 성북구,노랑통닭 정릉점,18:00~23:00,"시급9,500",2시간전
서울 은평구,노랑통닭 연신내점,18:00~22:00,"시급8,720",2시간전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",2시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",3시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",3시간전
서울 양천구,노랑통닭 신정네거리역점,12:00~02:00,"시급8,720",3시간전
경기 오산시,노랑통닭 오산궐동점,15:30~02:30,"월급2,900,000",3시간전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",4시간전
경기 오산시,노랑통닭 오산시청점,16:00~03:00,"월급2,600,000",4시간전
경기 안산시,노랑통닭 안산역점,14:00~01:30,"월급2,700,000",4시간전
경기 안산시,노랑통닭 안산역점,14:00~01:30,"월급2,700,000",4시간전
경기 안산시,노랑통닭 안산역점,14:00~01:30,"월급2,700,000",4시간전
경기 안산시,노랑통닭 안산역점,14:00~01:30,"월급2,700,000",4시간전
경기 안산시,노랑통닭 안산역점,14:00~01:30,"월급2,700,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",4시간전
경기 안산시,노랑통닭 안산 중앙점,14:00~02:00,"시급8,720",5시간전
서울 강남구,노랑통닭 강남자곡점,20:00~02:00,"시급10,000",5시간전
서울 강남구,노랑통닭 강남자곡점,18:00~24:00,"시급9,000",5시간전
서울 강남구,노랑통닭 강남자곡점,15:00~23:00,"시급10,000",5시간전
서울 마포구,노랑통닭 상수점,16:00~22:00,"시급10,000",5시간전
경기 하남시,노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",5시간전
인천 미추홀,노랑통닭 인하대점,18:00~01:00,"시급9,000",6시간전
인천 서구,노랑통닭 마전점,18:00~23:00,"시급8,800",6시간전
인천 서구,노랑통닭 마전점,14:30~01:00,"월급2,480,000",6시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",6시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",6시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",6시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",7시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",7시간전
서울 영등포,노랑통닭 노랑통닭 영등포역점,19:00~03:00,"월급2,100,000",7시간전
서울 영등포,노랑통닭 노랑통닭 영등포역점,19:00~03:00,"월급2,100,000",7시간전
서울 영등포,노랑통닭 노랑통닭 영등포역점,19:00~03:00,"월급2,100,000",7시간전
서울 영등포,노랑통닭 노랑통닭 영등포역점,19:00~03:00,"월급2,100,000",7시간전
서울 영등포,노랑통닭 노랑통닭 영등포역점,19:00~03:00,"월급2,100,000",7시간전
서울 용산구,노랑통닭 용산점,18:00~22:00,"시급10,000",7시간전
경기 광명시,노랑통닭 광명사거리점,17:00~24:00,"시급14,000",7시간전
경기 광명시,노랑통닭 광명사거리점,17:00~24:00,"시급14,000",7시간전
경기 광명시,노랑통닭 광명사거리점,17:00~24:00,"시급14,000",7시간전
서울 서대문,노랑통닭 명지대점,17:00~03:00,"월급2,400,000",7시간전
서울 강북구,노랑통닭 미아점,15:30~02:30,"월급2,600,000",7시간전
인천 서구,노랑통닭 마전점,18:00~23:00,"시급8,800",7시간전
인천 서구,노랑통닭 마전점,14:30~01:00,"월급2,480,000",7시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",7시간전
서울 강동구,노랑통닭 천호점,17:00~04:00,"월급2,600,000",7시간전
서울 강동구,노랑통닭 천호점,17:00~04:00,"월급2,600,000",7시간전
서울 전체,노랑통닭 목동사거리점,18:00~01:00,"시급9,500",7시간전
서울 금천구,노랑통닭 광명하안점,17:00~24:00,"시급11,000",7시간전
서울 구로구,노랑통닭 구로디지털단지점,18:00~21:00,"시급8,720",7시간전
경기 광명시,노랑통닭 광명하안점,17:00~24:00,"시급11,000",7시간전
경기 평택시,노랑통닭 평택포승점,18:00~21:00,"시급9,000",8시간전
서울 강북구,노랑통닭 미아점,16:00~03:00,"월급2,600,000",8시간전
서울 용산구,노랑통닭 용산점,18:00~22:00,"시급10,000",8시간전
경기 오산시,노랑통닭 오산시청점,16:00~03:00,"월급2,600,000",8시간전
전남 순천시,노랑통닭 순천 금당점,18:00~24:00,"시급10,000",8시간전
전남 순천시,노랑통닭 순천 금당점,18:00~24:00,"시급10,000",8시간전
강원 춘천시,노랑통닭 남춘천점,18:00~02:00,"시급9,000",9시간전
경기 수원시,노랑통닭 호매실1호점,14:00~20:00,"시급8,590",12시간전
전남 무안군,노랑통닭 목포 남악점,18:00~22:00,"시급8,720",23시간전
전남 무안군,노랑통닭 목포 남악점,18:00~22:00,"시급8,720",23시간전
전남 무안군,노랑통닭 목포 남악점,18:00~22:00,"시급8,720",23시간전
전남 무안군,노랑통닭 목포 남악점,18:00~22:00,"시급8,720",23시간전
전남 무안군,노랑통닭 목포 남악점,18:00~22:00,"시급8,720",23시간전
서울 성북구,노랑통닭 고대점,18:00~24:00,"시급9,000",12/20
인천 미추홀,노랑통닭 인하대점,18:00~01:00,"시급9,000",12/20
인천 미추홀,노랑통닭 인하대점,18:00~01:00,"시급9,000",12/20
서울 강북구,노랑통닭 미아점,16:00~03:00,"월급2,600,000",12/20
충남 논산시,노랑통닭 논산점,17:00~01:00,"시급8,590",12/20
충남 논산시,노랑통닭 논산점,17:00~01:00,"시급8,720",12/20
충남 논산시,노랑통닭 논산점,17:00~01:00,"시급8,720",12/20
충남 논산시,노랑통닭 논산점,17:00~01:00,"시급8,720",12/20
충남 논산시,노랑통닭 논산점,17:00~01:00,"시급8,720",12/20
강원 춘천시,노랑통닭 남춘천점,15:00~01:00,"월급2,300,000",12/20
강원 춘천시,노랑통닭 남춘천점,18:00~01:00,"시급9,000",12/20
서울 관악구,노랑통닭 신림점,17:00~24:00,"시급13,500",12/19
서울 관악구,노랑통닭 신림점,18:00~24:00,"시급13,500",12/19
인천 서구,노랑통닭 인천검암점,19:00~23:00,"시급12,000",12/19
인천 서구,노랑통닭 인천검암점,19:00~23:00,"시급12,000",12/19
인천 서구,노랑통닭 인천검암점,19:00~23:00,"시급12,000",12/19
인천 서구,노랑통닭 인천검암점,19:00~23:00,"시급12,000",12/19
인천 서구,노랑통닭 인천검암점,19:00~23:00,"시급12,000",12/19
서울 관악구,노랑통닭 청림점,05:00~11:00,"시급8,720",12/19
인천 부평구,노랑통닭 부평역점,17:00~03:00,"월급2,400,000",12/19
인천 부평구,노랑통닭 부평역점,17:00~03:00,"월급2,400,000",12/19
