place,title,time,pay,date
대구 동구,신세계 동대구,10:00~20:30,"월급1,950,000",40분전
경기 하남시,스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",2시간전
대전 유성구,대전 유성,시간협의,"월급2,000,000",3시간전
대전 중구,(주)대연 은행동 나이키,시간협의,"월급2,000,000",3시간전
인천 연수구,나이키,10:00~22:00,"월급2,050,000",3시간전
경기 이천시,경기 이천점 나이키,10:00~21:00,"월급2,000,000",4시간전
충남 천안시,모다아울렛천안,11:00~21:00,"월급1,970,000",5시간전
경기 수원시,(주)대연,10:00~20:00,"월급1,950,000",5시간전
경기 수원시,(주)대연,10:00~20:00,"월급1,950,000",6시간전
대구 중구,(주)대연 대백 프라자 나이키,10:00~20:30,"월급1,950,000",7시간전
경기 하남시,스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",7시간전
경기 하남시,스타필드 하남 나이키,10:00~22:00,"월급2,050,000",8시간전
경기 하남시,스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",12/20
경기 하남시,스타필드 하남 나이키,10:00~22:00,"월급2,050,000",12/19
충남 천안시,모다아울렛천안,10:30~21:30,"월급1,970,000",12/17
경기 시흥시,경기 시흥점,10:00~21:00,"월급2,000,000",12/17
경기 시흥시,경기 시흥점,10:00~21:00,"월급2,000,000",12/16
