place,title,time,pay,date
경기 고양시,KFC 행신역,17:00~24:00,"시급8,590",35분전
강원 춘천시,춘천이마트,10:00~22:00,"시급8,720",37분전
경기 고양시,KFC 행신역,17:00~24:00,"시급8,590",39분전
서울 중구,KFC 본사,09:00~18:00,"시급11,339",1시간전
충남 아산시,아산터미널,16:00~22:30,"시급8,590",1시간전
경기 안양시,KFC 안양일번가,18:00~01:30,"시급8,720",1시간전
충남 천안시,KFC 천안터미널,시간협의,"시급8,590",2시간전
대구 서구,내당동,09:30~01:00,"시급8,720",2시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,720",2시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,720",2시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,720",2시간전
대구 달서구,상인네거리,00:00~01:00,"시급8,720",2시간전
경기 고양시,주엽역,시간협의,"연봉28,000,000",3시간전
서울 강남구,학동역,10:00~17:00,"시급8,720",3시간전
경기 고양시,주엽역,시간협의,"연봉28,000,000",4시간전
경기 성남시,정자역,17:00~01:00,"시급8,590",4시간전
경기 성남시,정자역,17:00~01:00,"시급8,590",4시간전
전남 순천시,순천연향동,16:00~23:00,"시급8,720",7시간전
서울 서초구,방배역,시간협의,"시급8,720",7시간전
경기 고양시,KFC 행신역,17:00~24:00,"시급8,590",9시간전
대전 유성구,KFC 노은역,시간협의,"시급8,720",10시간전
대전 유성구,KFC 노은역,시간협의,"시급8,720",10시간전
대전 유성구,KFC 노은역,시간협의,"시급8,720",10시간전
경기 고양시,주엽역,시간협의,"연봉28,000,000",22시간전
경기 수원시,영통씨네마,18:00~24:00,"시급8,720",12/20
서울 서초구,강남고속터미널,17:00~24:00,"시급8,720",12/20
서울 서초구,강남고속터미널,17:00~01:00,"시급8,720",12/20
경기 고양시,일산장항,시간협의,"연봉28,000,000",12/20
경기 김포시,김포,11:30~18:00,"시급8,720",12/20
대구 달서구,대구용산,시간협의,"시급8,720",12/18
대구 달서구,대구용산,시간협의,"시급8,720",12/18
대구 달서구,대구용산,시간협의,"시급8,720",12/18
대구 달서구,대구용산,시간협의,"시급8,590",12/18
대구 달서구,대구용산,시간협의,"시급8,590",12/18
경기 용인시,용인상현,16:00~23:00,"시급8,720",12/18
경기 고양시,KFC 행신역,17:00~24:00,"시급8,590",12/18
경기 평택시,평택,09:00~23:00,"시급8,590",12/17
서울 영등포,동여의도,16:00~23:00,"시급8,590",12/17
서울 관악구,서울대입구역,12:00~24:00,"시급8,720",12/17
서울 서초구,강남고속터미널,17:00~01:00,"시급8,720",12/16
서울 서초구,강남고속터미널,17:00~24:00,"시급8,720",12/16
대전 서구,대전시청역,시간협의,"시급8,720",12/16
경기 김포시,김포한강,17:00~23:00,"시급8,720",12/16
대전 서구,대전시청역,시간협의,"시급8,720",12/16
대전 유성구,KFC 유성온천,시간협의,"시급8,590",12/16
경기 안양시,관양1,16:00~23:30,"시급8,720",12/16
대구 서구,내당동,09:30~01:00,"시급8,720",12/16
대구 서구,내당동,09:30~01:00,"시급8,590",12/15
서울 전체,서초동,시간협의,"시급8,590",12/15
경기 김포시,김포,시간협의,"시급8,590",12/15
서울 서초구,KFC 강남역점,시간협의,"시급8,590",12/15
경기 안성시,KFC 안성중앙로,16:00~24:00,"시급8,590",12/15
경기 안양시,KFC 안양일번가,18:00~01:30,"시급8,590",12/15
경기 고양시,주엽역,09:00~24:00,"월급1,795,310",12/15
경기 김포시,김포한강,17:00~23:00,"시급8,590",12/14
경기 안양시,관양1,16:00~23:30,"시급8,590",12/14
서울 강서구,염창동,시간협의,"시급8,590",12/14
서울 강서구,염창동,시간협의,"시급8,590",12/14
서울 강서구,염창동,시간협의,"시급8,590",12/14
경기 오산시,오산DT,18:00~23:00,"시급8,590",12/14
경기 오산시,오산DT,18:00~23:00,"시급8,590",12/14
서울 마포구,홍익대,00:00~24:00,"시급8,590",12/14
