place,title,time,pay,date
서울 강남구,SK에너지 논현주유소,07:00~17:00,"월급2,200,000",7시간전
서울 양천구,에이치지에너지 가로공원주유소,시간협의,"시급8,590",7시간전
서울 서대문,행촌제2주유소,08:00~22:00,"시급8,720",8시간전
경남 창원시,북창원주유소,09:00~18:00,"시급8,720",9시간전
서울 서대문,(주)중앙에너비스동교지점,14:00~22:00,"시급10,020",9시간전
전국 전체,서울석유(주)항만주유소,09:00~18:00,"월급2,350,000",11시간전
경기 수원시,삼성단지주유소,14:30~23:00,"시급8,720",13시간전
경기 용인시,SK에너지 풍덕천셀프주유소,09:00~18:00,"월급2,300,000",14시간전
경기 안산시,신안산셀프주유소,10:00~19:00,"월급2,115,000",16시간전
경기 화성시,SK 발안고속주유소,08:00~18:00,"월급2,600,000",12/20
경북 구미시,상모제일self주유소,08:00~19:00,"시급8,590",12/20
광주 남구,캡틴월산주유소,06:00~12:00,"시급8,590",12/20
경기 오산시,KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",12/19
서울 양천구,에이치지에너지 가로공원주유소,시간협의,"시급8,590",12/19
서울 동대문,삼영주유소,10:00~17:00,"시급8,590",12/19
서울 강남구,SK에너지 뉴서울주유소,09:00~16:00,"시급8,590",12/19
광주 광산구,첨단북광주IC주유소,11:00~22:00,"시급8,590",12/18
경기 포천시,화성주유소,09:00~18:00,"시급8,720",12/18
경기 수원시,삼성단지주유소,14:30~23:00,"시급8,720",12/18
경기 포천시,(주)태봉에너지,14:00~19:30,"시급8,720",12/18
서울 광진구,(주)해양가스,시간협의,"월급2,140,000",12/17
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,720",12/16
서울 서대문,행촌제2주유소,08:00~22:00,"시급8,720",12/16
경기 안양시,SK에너지 서진주유소,05:30~14:30,"시급8,590",12/16
대전 유성구,SK에너지 황제주유소/황제충전소,시간협의,"월급2,300,000",12/15
경기 양주시,효성셀프주유소,06:00~09:00,"시급8,590",12/15
서울 광진구,(주)해양가스,시간협의,"월급2,140,000",12/15
경기 안산시,(주)대한석유한대역주유소,10:00~20:00,"월급2,600,000",12/15
경북 포항시,북포항주유소,09:00~19:00,"시급8,590",12/15
경기 오산시,KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",12/15
충남 홍성군,홍성자연주유소,08:00~17:00,"월급2,200,000",12/14
경기 오산시,KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",12/14
경기 오산시,SK에너지 운암뜰주유소,06:00~12:00,"시급8,600",12/14
경기 군포시,(주)한유에너지 금정주유소,시간협의,"시급8,590",12/13
경기 군포시,(주)한유에너지 금정주유소,시간협의,"시급8,590",12/13
충남 전체,금광주유소,09:00~18:00,"월급2,100,000",12/13
경기 오산시,KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",12/13
경기 오산시,KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",12/12
서울 강남구,SK에너지 뉴서울주유소,09:00~16:00,"시급8,590",12/12
경기 오산시,KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",12/12
경기 오산시,KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",12/11
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",12/11
경기 오산시,KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",12/11
경북 포항시,태성주유소,09:00~19:00,"월급2,200,000",12/11
경기 오산시,SK에너지 운암뜰주유소,06:00~12:00,"시급8,600",12/11
경기 안산시,SK에너지 안산한양주유소,시간협의,"시급8,590",12/10
경기 남양주,SK에너지 호평첨단주유소,07:30~16:00,"시급8,590",12/09
서울 전체,풍한주유소,22:30~07:00,"시급8,590",12/09
광주 전체,고창고인돌(하)주유소,08:00~20:00,"월급2,500,000",12/09
경기 여주시,(주) 썬라이즈 오일 서여주IC주유소,시간협의,"시급8,590",12/08
경기 군포시,(주)한유에너지 금정주유소,시간협의,"시급8,590",12/08
경기 군포시,(주)한유에너지 금정주유소,시간협의,"시급8,590",12/08
서울 동대문,삼영주유소,10:00~17:00,"시급8,590",12/07
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",12/07
경기 연천군,SK에너지 통일주유소,06:00~22:00,"시급8,590",12/06
경기 연천군,SK에너지 통일주유소,06:00~22:00,"시급8,590",12/05
강원 삼척시,SK 원더플 주유 & 충전소,06:00~24:00,"월급2,800,000",12/03
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",12/03
경기 고양시,행촌에너지 SK화정주유소,08:00~22:00,"시급8,590",12/02
서울 강서구,염창동주유소,시간협의,"시급9,756",12/02
경기 연천군,SK에너지 통일주유소,06:00~22:00,"시급8,590",12/01
