place,title,time,pay,date
충남 아산시,(주)이마트트레이더스천안아산점,23:00~07:00,"시급9,700",26분전
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,620",35분전
경기 용인시,(주) 이마트 용인점,09:00~23:00,"시급10,620",1시간전
경기 용인시,(주) 이마트 용인점,09:00~17:00,"시급9,700",2시간전
경기 수원시,이마트 TRADERS 수원점,00:00~23:00,"시급9,700",2시간전
서울 노원구,(주)이마트 트레이더스 월계점,22:00~06:00,"시급9,700",3시간전
경기 안양시,(주)이마트평촌점,09:00~23:00,"시급9,700",4시간전
경기 고양시,이마트 트레이더스 킨텍스점,시간협의,"시급9,700",4시간전
경기 고양시,이마트 트레이더스 고양점,00:00~24:00,"시급10,620",4시간전
경기 하남시,(주)이마트,시간협의,"시급10,620",5시간전
강원 춘천시,이마트 춘천점,09:00~17:00,"시급9,700",5시간전
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,620",7시간전
경기 성남시,(주)이마트 분당점,09:00~23:00,"시급9,700",7시간전
경기 오산시,이마트 오산점,09:00~23:00,"시급9,700",13시간전
경기 김포시,이마트 김포한강점,10:00~23:00,"시급10,620",13시간전
경기 성남시,[이마트]스타필드 위례 몰리스펫샵,14:00~22:00,"시급9,700",12/20
강원 강릉시,이마트 강릉점,09:00~17:00,"시급9,700",12/20
경기 수원시,이마트 TRADERS 수원점,00:00~23:00,"시급9,700",12/19
서울 노원구,(주)이마트 트레이더스 월계점,07:00~15:00,"시급9,700",12/19
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,620",12/18
경기 전체,(주)이마트,09:00~17:00,"시급9,700",12/17
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,620",12/14
경기 용인시,(주)이마트,06:00~14:00,"시급9,700",12/09
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,620",12/08
