place,title,time,pay,date
서울 강동구,(주)초록마을 본사직영,11:00~20:00,"월급2,350,000",6분전
서울 강동구,(주)초록마을 본사직영,11:00~20:00,"월급2,350,000",8분전
서울 성동구,(주)초록마을 본사직영,09:00~18:30,"월급1,900,000",47분전
서울 서초구,(주)초록마을 본사직영,09:00~18:00,"월급2,310,000",5시간전
서울 강남구,(주)초록마을 본사직영,09:00~21:00,"월급2,350,000",6시간전
서울 성동구,(주)초록마을 본사직영,09:00~21:00,"월급2,350,000",6시간전
경기 안산시,(주)초록마을 본사직영,09:00~21:00,"월급2,350,000",6시간전
경기 광명시,(주)초록마을 본사직영,09:00~18:00,"월급2,310,000",6시간전
서울 강남구,(주)초록마을 본사직영,09:00~21:00,"월급2,310,000",6시간전
서울 서초구,(주)초록마을 본사직영,09:00~21:00,"월급2,310,000",6시간전
경기 안양시,(주)초록마을 본사직영,09:00~21:00,"월급2,310,000",6시간전
서울 서대문,(주)초록마을 본사직영,09:00~21:00,"월급1,900,000",6시간전
서울 송파구,(주)초록마을 본사직영,09:00~18:00,"월급2,310,000",6시간전
서울 강동구,(주)초록마을 본사직영,09:00~13:00,"시급10,310",6시간전
서울 관악구,(주)초록마을 본사직영,09:00~18:00,"월급2,350,000",8시간전
