place,title,time,pay,date
광주 광산구,교촌치킨 광주 첨단2호,18:00~24:00,"시급10,000",4분전
경기 안양시,교촌치킨 안양1호,18:00~24:00,"시급9,000",6분전
전북 군산시,교촌치킨 군산 미장수송,18:00~01:00,"시급9,000",6분전
전남 여수시,교촌치킨 웅천,11:00~18:00,"시급10,000",7분전
전남 여수시,교촌치킨 웅천,12:00~16:00,"월급1,000,000",9분전
전북 군산시,교촌치킨 군산 구암조촌,18:00~23:00,"시급9,000",10분전
전남 여수시,교촌치킨 웅천,17:00~01:30,"연봉30,000,000",11분전
광주 광산구,교촌치킨 광주 첨단2호,18:00~24:00,"시급10,000",17분전
인천 서구,교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",24분전
인천 서구,교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",25분전
전북 전주시,교촌치킨 전주 서신,17:00~00:00,"시급8,590",27분전
경남 창원시,교촌치킨 상남,시간협의,"일급150,000",29분전
경남 창원시,교촌치킨 상남,시간협의,"일급150,000",29분전
경기 안양시,교촌치킨 호계3호,17:00~23:00,"시급11,000",33분전
경기 군포시,교촌치킨 호계3호,12:00~24:00,"월급3,000,000",33분전
대구 북구,교촌치킨 동천3지구,18:00~24:00,"시급9,000",34분전
서울 양천구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",51분전
서울 강서구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",52분전
서울 마포구,교촌치킨 서울 망원2동,12:30~00:30,"월급3,100,000",58분전
서울 마포구,교촌치킨 서울 망원2동,12:30~00:30,"월급3,100,000",58분전
서울 마포구,교촌치킨 서울 망원2동,12:30~00:30,"월급3,100,000",58분전
서울 마포구,교촌치킨 서울 망원2동,12:30~00:30,"월급3,100,000",58분전
서울 마포구,교촌치킨 서울 망원2동,12:30~00:30,"월급3,100,000",58분전
서울 강서구,교촌치킨 서울서부 목3동점,14:00~02:00,"시급10,500",1시간전
서울 양천구,교촌치킨 서울서부 목3동점,14:00~02:00,"시급10,500",1시간전
서울 종로구,교촌치킨 서울 대학로,11:00~23:00,"월급3,200,000",1시간전
경기 고양시,교촌치킨 고양 주엽,17:00~23:00,"시급11,000",1시간전
서울 강동구,교촌치킨 서울동부 명일1호점,12:00~24:00,"월급3,000,000",1시간전
인천 미추홀,교촌치킨 인천 도화점,시간협의,"시급10,000",1시간전
서울 마포구,교촌치킨 서울 연남,12:30~00:30,"월급3,100,000",1시간전
서울 마포구,교촌치킨 서울 연남,12:30~00:30,"월급3,100,000",1시간전
서울 양천구,교촌치킨 서울 목동오거리,17:00~24:00,"시급11,000",1시간전
서울 마포구,교촌치킨 서울 연남,12:30~00:30,"월급3,100,000",1시간전
충북 청주시,교촌치킨 청주옥산점,17:00~23:00,"시급9,000",1시간전
