place,title,time,pay,date
경북 김천시,유치초등저학년전문 기탄공부방,14:00~18:00,"월급2,000,000",2시간전
경북 안동시,유치초등저학년전문 기탄공부방,14:00~18:00,"월급2,000,000",3시간전
충남 서산시,(주)기탄러닝,13:00~18:00,"월급2,000,000",6시간전
충북 청주시,(주)기탄러닝,01:30~05:30,"월급2,000,000",7시간전
세종 전체,(주)기탄러닝,01:30~05:30,"월급2,000,000",7시간전
서울 서초구,(주)기탄러닝,시간협의,"월급2,000,000",12/20
서울 서대문,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/20
서울 은평구,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/20
경기 평택시,기탄사고력교실 경기 평택/안성/송탄,14:00~06:00,"월급2,500,000",12/20
경기 오산시,(주)기탄러닝,01:00~06:00,"월급2,000,000",12/20
경기 용인시,(주)기탄러닝,13:00~18:00,"월급2,000,000",12/20
경기 가평군,(주)기탄러닝,13:00~18:00,"연봉25,000,000",12/20
제주 전체,(주)기탄러닝,13:00~18:00,"월급2,000,000",12/20
울산 울주군,(주)기탄러닝,13:00~19:00,"월급2,500,000",12/20
울산 전체,(주)기탄러닝,13:00~19:00,"월급2,500,000",12/20
경남 양산시,(주)기탄러닝,13:00~19:00,"월급2,500,000",12/20
경기 가평군,(주)기탄러닝,13:00~18:30,"연봉25,000,000",12/20
부산 해운대,(주)기탄러닝,시간협의,"연봉21,000,000",12/20
경남 창원시,(주)기탄러닝,14:00~18:00,"월급2,000,000",12/20
경북 칠곡군,유치초등저학년전문 기탄공부방,14:00~18:00,"월급2,000,000",12/20
부산 사하구,(주)기탄러닝,13:00~17:00,"월급2,000,000",12/20
서울 동대문,기탄사고력교실 서울 강남/송파/동대문,13:00~18:00,"월급2,000,000",12/20
서울 강남구,기탄사고력교실 서울 강남/송파/동대문,13:00~18:00,"월급2,000,000",12/20
서울 송파구,기탄사고력교실 서울 강남/송파/동대문,13:00~18:00,"월급2,000,000",12/20
서울 양천구,(주)기탄러닝,14:00~16:00,"월급3,000,000",12/20
전북 전주시,(주)기탄러닝,14:30~18:30,"월급2,000,000",12/20
경기 안산시,(주)기탄러닝,13:00~18:00,"연봉15,000,000",12/20
경기 안산시,(주)기탄러닝,13:00~18:00,"연봉15,000,000",12/20
경기 시흥시,(주)기탄러닝,13:00~18:00,"연봉15,000,000",12/20
경기 시흥시,(주)기탄러닝,13:00~18:00,"연봉15,000,000",12/20
경기 부천시,(주)기탄러닝,13:00~18:00,"연봉15,000,000",12/20
경기 수원시,(주)기탄러닝,14:00~18:00,"월급2,000,000",12/20
경기 김포시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/20
인천 연수구,기탄사고력교실 인천본부,14:00~18:00,"월급2,000,000",12/20
인천 연수구,기탄사고력교실 인천본부,14:00~18:00,"월급2,000,000",12/20
경기 고양시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/19
경기 광주시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/11
경기 성남시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/11
경기 성남시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/11
경기 광주시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/11
경기 광주시,(주)기탄러닝,14:00~18:00,"월급2,500,000",12/11
서울 강동구,(주)기탄러닝,13:00~18:00,"연봉20,000,000",12/08
서울 중랑구,(주)기탄러닝,13:00~18:00,"연봉20,000,000",12/08
경기 하남시,(주)기탄러닝,13:00~18:00,"연봉20,000,000",12/08
경기 하남시,(주)기탄러닝,13:00~18:00,"연봉20,000,000",12/08
