place,title,time,pay,date
울산 북구,다이소 울산신천점,08:30~22:30,"월급1,795,310",3분전
서울 강동구,다이소 홈플러스강동점,14:00~20:00,"시급8,590",27분전
경남 창원시,다이소 마산합성점,09:00~18:00,"월급1,795,310",30분전
경남 창원시,다이소 마산합성점,09:00~18:00,"월급1,795,310",30분전
인천 계양구,인천계산삼거리점,10:00~16:00,"시급8,590",36분전
인천 부평구,다이소 부평2호점,15:00~21:00,"시급8,590",38분전
전국 전체,다이소 직영3현장CS팀,07:00~18:30,"월급2,095,310",40분전
전남 나주시,다이소 나주혁신점,10:00~16:00,"시급8,720",45분전
광주 광산구,다이소 나주혁신점,10:00~16:00,"시급8,720",46분전
전북 전주시,다이소 전주평화사거리점,10:00~16:00,"시급8,720",1시간전
대구 달서구,다이소 영남 오픈리베로,09:30~18:30,"월급1,795,310",1시간전
전북 전주시,다이소 전주신시가지점,10:00~16:00,"시급8,720",1시간전
부산 기장군,다이소 탑마트기장점,08:00~18:00,"월급1,795,310",1시간전
경북 포항시,다이소 포항문덕점,09:00~22:00,"시급8,590",1시간전
경남 양산시,다이소 양산남부시장점,13:30~19:30,"시급8,590",1시간전
부산 기장군,다이소 부산정관신도시점,10:00~22:00,"시급8,590",1시간전
부산 기장군,다이소 부산정관신도시점,10:00~22:00,"시급8,590",1시간전
부산 기장군,다이소 부산정관신도시점,16:00~22:00,"시급8,590",1시간전
전북 군산시,다이소 군산중앙로점,10:00~16:00,"시급8,720",1시간전
울산 남구,다이소 울산신정점,09:00~18:00,"월급1,795,310",1시간전
울산 북구,다이소 울산신천점,08:30~22:30,"월급1,795,310",1시간전
경북 문경시,다이소 문경모전점,08:00~22:30,"월급1,795,310",1시간전
경북 예천군,다이소 경북도청신도시점,09:00~22:30,"월급1,795,310",1시간전
울산 중구,다이소 울산서동점,09:00~22:30,"시급8,590",1시간전
대구 달서구,다이소 대구상인네거리점,08:30~17:30,"월급1,795,310",1시간전
대구 수성구,다이소 대구시지점,07:30~22:30,"월급1,795,310",1시간전
대구 달성군,다이소 대구서재점,08:00~17:00,"월급1,795,310",1시간전
경북 영천시,다이소 영천시청점,09:30~22:30,"월급1,795,310",1시간전
대구 달성군,다이소 대구유가점,07:30~22:30,"월급1,795,310",1시간전
대구 달성군,대구테크노폴리스점,07:30~22:30,"월급1,795,310",1시간전
대구 달서구,다이소 대구신당점,09:30~22:30,"월급1,795,310",1시간전
대구 남구,다이소 대구명덕네거리점,08:00~24:00,"월급1,795,310",1시간전
대구 남구,다이소 대구명덕네거리점,16:00~22:00,"시급8,590",1시간전
전남 목포시,다이소 홈플러스목포점,10:00~16:00,"시급8,720",1시간전
서울 강동구,다이소 홈플러스강동점,14:00~20:00,"시급8,590",1시간전
전남 목포시,다이소 목포하당점,10:00~16:00,"시급8,720",1시간전
대구 달서구,다이소 영남 오픈리베로,09:30~18:30,"월급1,795,310",1시간전
부산 기장군,다이소 탑마트기장점,08:00~18:00,"월급1,795,310",1시간전
경북 포항시,다이소 포항문덕점,09:00~22:00,"시급8,590",1시간전
경남 양산시,다이소 양산남부시장점,13:30~19:30,"시급8,590",1시간전
전남 목포시,다이소 목포하당점,15:00~18:00,"시급8,720",1시간전
