place,title,time,pay,date
경기 고양시,또래오래 고양대화점,18:00~22:00,"시급9,000",8시간전
경북 안동시,또래오래 송현점,17:30~23:30,"시급10,000",12/13
경북 안동시,또래오래 송현점,17:30~23:30,"시급10,000",12/13
경북 안동시,또래오래 송현점,17:30~23:30,"시급10,000",12/13
경북 안동시,또래오래 송현점,17:30~23:30,"시급10,000",12/13
경북 안동시,또래오래 송현점,17:30~23:30,"시급10,000",12/13
경기 화성시,또래오래 화성동탄능동점,18:00~22:00,"시급9,000",12/13
경기 화성시,또래오래 화성동탄능동점,18:00~22:00,"시급9,000",12/13
경기 화성시,또래오래 화성동탄능동점,18:00~22:00,"시급9,000",12/13
경기 화성시,또래오래 화성동탄능동점,18:00~22:00,"시급9,000",12/13
경기 화성시,또래오래 화성동탄능동점,18:00~22:00,"시급9,000",12/13
경북 김천시,또래오래 김천자산로점,:  ~  :,"월급2,000,000",12/13
경북 김천시,또래오래 김천자산로점,:  ~  :,"월급2,000,000",12/13
경북 김천시,또래오래 김천자산로점,:  ~  :,"월급2,000,000",12/13
경북 김천시,또래오래 김천자산로점,:  ~  :,"월급2,000,000",12/13
경북 김천시,또래오래 김천자산로점,:  ~  :,"월급2,000,000",12/13
