place,title,time,pay,date
경기 평택시,부릉 평택지산신장지점,09:00~04:00,"건별3,500",16분전
경기 구리시,부릉 구리인창지점,09:00~02:00,"건별3,000",19분전
경기 구리시,부릉 구리인창지점,09:00~02:00,"건별3,000",19분전
부산 동래구,부릉 부산안락지점,09:00~02:00,"건별3,000",34분전
부산 동래구,부릉 부산안락지점,09:00~02:00,"건별3,000",35분전
부산 동래구,부릉 부산안락지점,09:00~02:00,"건별3,000",35분전
경기 수원시,부릉 수원원천지점,07:00~03:00,"건별3,000",1시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별3,000",2시간전
울산 동구,부릉 울산삼산지점,07:00~02:00,"건별3,000",2시간전
울산 전체,부릉 울산삼산지점,07:00~02:00,"건별3,000",2시간전
울산 동구,부릉 울산삼산지점,07:00~02:00,"건별3,000",2시간전
경기 안양시,부릉 안양평촌지점,00:00~24:00,"건별3,000",2시간전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,000",2시간전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,000",2시간전
부산 해운대,부릉 부산중동지점,10:00~02:00,"건별3,000",2시간전
경기 김포시,부릉 김포사우지점,10:00~24:00,"일급200,000",2시간전
경기 김포시,부릉 김포사우지점,10:00~24:00,"일급200,000",2시간전
경기 김포시,부릉 김포사우지점,10:00~24:00,"일급200,000",2시간전
부산 사상구,부릉 부산엄궁지점,08:00~03:00,"일급200,000",2시간전
부산 사하구,부릉 부산엄궁지점,08:00~03:00,"일급200,000",2시간전
경기 안양시,부릉 안양평촌지점,00:00~24:00,"건별3,000",2시간전
부산 사하구,부릉 부산엄궁지점,08:00~03:00,"일급200,000",2시간전
경기 평택시,부릉 평택비전지점,10:00~01:00,"월급5,000,000",3시간전
부산 부산진,부릉 부산개금지점,10:00~01:00,"건별3,000",3시간전
부산 부산진,부릉 부산개금지점,10:00~01:00,"건별3,000",3시간전
부산 부산진,부릉 부산개금지점,10:00~01:00,"건별3,000",3시간전
경북 경산시,경산정평지점,11:00~02:00,"일급200,000",3시간전
부산 서구,부릉 부산남포지점,시간협의,"일급100,000",3시간전
충북 청주시,부릉 청주청원오창지점,09:30~03:00,"건별3,000",3시간전
경기 군포시,부릉 군포지점,11:00~01:00,"건별3,000",3시간전
경기 군포시,부릉 군포지점,11:00~01:00,"건별3,000",3시간전
경기 군포시,부릉 군포지점,11:00~01:00,"건별3,000",3시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별3,000",3시간전
대구 중구,대구중구동성로점,00:00~24:00,"건별3,000",4시간전
서울 광진구,부릉 광진화양지점,시간협의,"건별2,800",4시간전
서울 광진구,부릉 광진화양지점,시간협의,"건별2,800",4시간전
서울 광진구,부릉 광진화양지점,시간협의,"건별2,800",4시간전
경기 광주시,부릉 광주경안지점,10:00~01:00,"월급5,000,000",4시간전
서울 금천구,부릉 금천가산지점,00:00~24:00,"건별3,000",4시간전
서울 금천구,부릉 금천가산지점,00:00~24:00,"건별3,000",4시간전
