place,title,time,pay,date
서울 강남구,버거킹 수서점,00:00~24:00,"시급8,720",6분전
서울 강남구,버거킹 수서점,00:00~24:00,"시급8,720",6분전
경기 파주시,버거킹 파주야당역점,18:00~02:00,"시급8,720",12분전
경기 김포시,버거킹 김포한강GS점,00:00~24:00,"시급8,590",17분전
경기 김포시,버거킹 김포한강GS점,00:00~24:00,"시급8,590",18분전
경기 파주시,버거킹 파주야당역점,18:00~02:00,"시급8,720",26분전
부산 사상구,버거킹 부산서부터미널점,시간협의,"시급8,590",39분전
경남 진주시,버거킹 진주평거점,00:00~24:00,"시급8,720",41분전
경기 성남시,버거킹 분당수내점,16:00~23:30,"시급8,590",45분전
경기 수원시,버거킹 송죽SK점,시간협의,"시급8,590",46분전
경북 경주시,버거킹 경주용강DT점,시간협의,"시급8,720",46분전
경기 수원시,버거킹 송죽SK점,시간협의,"시급8,590",47분전
경기 수원시,버거킹 송죽SK점,시간협의,"시급8,590",48분전
경기 수원시,버거킹 송죽SK점,시간협의,"시급8,590",49분전
경기 파주시,버거킹 금촌역점,16:00~22:00,"시급8,720",50분전
경기 파주시,버거킹 금촌역점,16:00~22:00,"시급8,720",50분전
경기 파주시,버거킹 금촌역점,16:00~22:00,"시급8,720",51분전
경북 포항시,버거킹 포항철강단지SK점,시간협의,"시급8,590",51분전
경기 수원시,버거킹 서수원이마트,16:00~23:00,"시급8,590",55분전
경기 구리시,구리SK점,23:00~07:00,"시급8,720",58분전
경기 시흥시,버거킹 시흥목감SK점,16:30~24:00,"시급8,720",1시간전
경기 시흥시,버거킹 시흥목감SK점,16:30~24:00,"시급8,720",1시간전
경기 시흥시,버거킹 시흥목감SK점,16:30~24:00,"시급8,720",1시간전
경기 시흥시,버거킹 시흥목감SK점,16:30~24:00,"시급8,720",1시간전
울산 중구,울산우정SK점,10:00~16:00,"시급8,720",1시간전
경기 오산시,버거킹 오산세교에스오일점,시간협의,"월급1,878,910",1시간전
서울 서초구,버거킹 방배카페골목,17:00~22:30,"시급8,720",1시간전
서울 강남구,버거킹 강남도곡점,08:00~24:00,"시급8,590",1시간전
서울 강남구,버거킹 강남도곡점,08:00~24:00,"시급8,590",2시간전
서울 강남구,버거킹 강남도곡점,08:00~24:00,"시급8,590",2시간전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,720",2시간전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,720",2시간전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,720",2시간전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,720",2시간전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,720",2시간전
