place,title,time,pay,date
서울 용산구,히바린 이태원점,17:00~22:00,"시급8,720",4시간전
서울 강남구,(주)캘리스코 사보텐 압구정본점,10:00~16:00,"시급8,590",5시간전
서울 서초구,(주)캘리스코 더센트럴키친 고속터미널,08:00~16:30,"시급8,720",6시간전
서울 관악구,(주)캘리스코 더센트럴키친 고속터미널,08:00~16:30,"시급8,720",7시간전
서울 동작구,(주)캘리스코 더센트럴키친 고속터미널,12:30~21:00,"시급8,720",7시간전
경남 창원시,사보텐 창원시티세븐점,18:00~21:30,"시급8,720",12/20
서울 강남구,(주)캘리스코,17:00~22:00,"시급8,590",12/19
서울 영등포,사보텐 경방타임스퀘어점,17:00~22:00,"시급8,720",12/18
서울 용산구,히바린 이태원점,17:00~22:00,"시급8,590",12/11
서울 용산구,히바린 이태원점,17:00~22:00,"시급8,590",12/10
서울 용산구,히바린 이태원점,17:00~22:00,"시급8,590",12/09
