place,title,time,pay,date
서울 성북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",2시간전
서울 강북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",2시간전
서울 성북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",2시간전
경기 부천시,성원아이북랜드 부천부평영업본부,13:00~19:00,"건별30,000",4시간전
인천 부평구,성원아이북랜드 부천부평영업본부,13:00~19:00,"건별30,000",4시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~21:00,"월급1,500,000",5시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~20:30,"월급1,330,000",5시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~20:30,"월급1,330,000",5시간전
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",5시간전
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",5시간전
서울 양천구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",5시간전
서울 강서구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",5시간전
서울 영등포,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",5시간전
서울 금천구,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",6시간전
서울 구로구,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",6시간전
경기 광명시,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",6시간전
경북 안동시,성원아이북랜드 경북북부영업본부,14:00~20:00,"월급1,000,000",6시간전
대구 남구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"건별35,000",6시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"건별350,000",6시간전
대구 달성군,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"건별35,000",6시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급900,000",6시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"건별350,000",6시간전
부산 북구,성원아이북랜드 부산북구양산영업본부,10:00~17:00,"건별35,000",7시간전
부산 북구,성원아이북랜드 부산북구양산영업본부,10:00~17:00,"건별35,000",7시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",8시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",8시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",8시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",8시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",8시간전
인천 서구,성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급700,000",9시간전
경기 김포시,성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급700,000",9시간전
인천 계양구,성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급700,000",9시간전
경북 경산시,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",12/20
대구 북구,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",12/20
대구 수성구,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",12/20
서울 마포구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",12/20
서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",12/20
서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,200,000",12/20
서울 서대문,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,500,000",12/20
서울 마포구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",12/20
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",12/19
서울 전체,성원아이북랜드 노원도봉영업본부,10:00~14:00,"월급1,000,000",12/19
대구 동구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",12/19
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",12/19
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",12/19
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",12/19
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",12/19
경북 경산시,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",12/19
대구 동구,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",12/19
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",12/18
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",12/18
경남 양산시,성원아이북랜드 부산북구양산영업본부,10:00~17:00,"월급1,000,000",12/14
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"월급1,000,000",12/13
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"월급1,000,000",12/13
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"월급1,000,000",12/13
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"월급1,000,000",12/13
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"월급1,000,000",12/13
서울 강남구,성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",12/13
서울 강남구,성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",12/13
서울 강남구,성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",12/13
경기 고양시,성원아이북랜드 일산영업본부,14:00~20:00,"시급10,000",12/10
경기 고양시,성원아이북랜드 일산영업본부,14:00~20:00,"시급10,000",12/10
부산 강서구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",12/07
부산 서구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",12/07
부산 사하구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",12/07
경기 광주시,성원아이북랜드 성남분당영업본부,10:00~20:00,"월급1,000,000",12/07
인천 연수구,성원아이북랜드 인천남동연수영업본부,14:00~20:00,"월급1,000,000",12/07
인천 전체,성원아이북랜드 인천남동연수영업본부,14:00~20:00,"월급1,000,000",12/07
인천 서구,성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급500,000",12/06
경기 김포시,성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급500,000",12/06
경기 수원시,성원아이북랜드 수원영업본부,14:00~20:00,"월급800,000",12/06
경기 수원시,성원아이북랜드 수원영업본부,14:00~20:00,"월급800,000",12/06
경기 수원시,성원아이북랜드 수원영업본부,14:00~20:00,"월급800,000",12/06
충남 아산시,성원아이북랜드 아산영업본부,14:00~20:00,"월급700,000",12/05
충남 아산시,성원아이북랜드 아산영업본부,14:00~19:00,"건별10,000",12/05
충남 당진시,성원아이북랜드 아산영업본부,14:00~20:00,"월급700,000",12/05
충남 당진시,성원아이북랜드 아산영업본부,10:00~17:00,"월급600,000",12/05
충남 아산시,성원아이북랜드 아산영업본부,14:00~19:00,"월급800,000",12/05
