place,title,time,pay,date
서울 관악구,써브웨이 서울대점,17:00~23:20,"시급8,590",25분전
경남 진주시,써브웨이진주혁신점,11:30~16:00,"시급8,590",47분전
울산 남구,써브웨이 울산 옥동점,17:00~22:00,"시급8,720",56분전
울산 남구,써브웨이 울산 달동점,13:00~18:00,"시급8,590",1시간전
경기 성남시,써브웨이 분당정자,17:00~21:00,"시급10,400",2시간전
울산 동구,서브웨이울산일산점,15:30~22:00,"시급8,720",2시간전
경남 진주시,써브웨이진주혁신점,11:30~16:00,"시급8,590",2시간전
서울 관악구,서브웨이 서초법원점,17:00~22:00,"시급8,590",2시간전
부산 남구,써브웨이 부산부경대점,17:00~22:30,"시급8,590",2시간전
서울 종로구,SUBWAY(성대점),12:00~15:30,"시급8,720",2시간전
울산 남구,써브웨이 울산삼산점,15:00~21:30,"시급8,750",3시간전
충남 천안시,써브웨이천안신부점,07:30~15:00,"시급8,590",3시간전
서울 서대문,써브웨이순화동라마다점,15:00~22:00,"시급8,800",3시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",3시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",3시간전
부산 남구,써브웨이 부산부경대점,17:00~22:30,"시급8,590",3시간전
경기 성남시,써브웨이 분당정자,11:00~14:30,"시급10,400",3시간전
울산 남구,써브웨이 울산삼산점,17:00~22:30,"시급8,750",4시간전
경기 부천시,써브웨이(SUBWAY) 부천 역곡역점,16:00~22:00,"시급8,600",4시간전
경기 부천시,써브웨이(SUBWAY) 부천 역곡역점,16:00~22:00,"시급8,600",5시간전
경기 부천시,써브웨이(SUBWAY)부천옥길점,07:30~16:00,"연봉24,000,000",5시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",5시간전
대구 달서구,써브웨이 대구계대동문점,08:00~13:00,"시급8,720",5시간전
울산 남구,써브웨이 울산삼산점,15:00~21:30,"시급8,720",5시간전
충남 천안시,써브웨이 두정점,07:30~16:00,"월급2,000,000",5시간전
서울 관악구,써브웨이 서울대점,17:00~23:20,"시급8,590",6시간전
부산 전체,써브웨이 부산법원점,09:00~22:00,"시급8,590",6시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",6시간전
부산 남구,써브웨이 부산부경대점,17:00~22:30,"시급8,590",6시간전
서울 마포구,써브웨이 홍대점,09:00~16:00,"시급8,800",7시간전
경남 진주시,써브웨이진주혁신점,11:30~16:00,"시급8,590",7시간전
서울 송파구,써브웨이 잠실새내역점,16:00~23:00,"시급8,800",7시간전
서울 동작구,써브웨이중앙대점,17:00~22:00,"시급8,720",7시간전
전국 전체,써브웨이 광명철산역점,16:30~23:00,"시급8,590",8시간전
서울 관악구,써브웨이 서울대점,10:00~17:30,"시급8,590",8시간전
서울 관악구,서브웨이 서초법원점,17:00~22:00,"시급8,590",8시간전
서울 강남구,서브웨이 역삼초교점,11:00~15:00,"시급8,590",10시간전
서울 관악구,서브웨이 서초법원점,17:00~22:00,"시급8,590",12/20
부산 남구,써브웨이 부산부경대점,17:00~22:30,"시급8,590",12/20
경남 진주시,써브웨이진주혁신점,11:30~16:00,"시급8,590",12/20
서울 강남구,서브웨이 역삼초교점,11:00~15:00,"시급8,590",12/19
경북 경산시,써브웨이 경산영남대점,07:30~24:00,"시급8,720",12/18
경기 안양시,써브웨이 안양1번가점,00:00~24:00,"시급8,590",12/18
부산 남구,써브웨이 부산부경대점,17:00~22:30,"시급8,590",12/18
서울 강남구,서브웨이 역삼초교점,11:00~15:00,"시급8,590",12/16
경기 성남시,써브웨이 오리역점,11:00~15:30,"시급8,720",12/16
서울 관악구,서브웨이 서초법원점,17:00~22:00,"시급8,590",12/14
경기 수원시,써브웨이 광교경기대후문점,19:00~22:00,"시급8,590",12/14
서울 강남구,서브웨이 역삼초교점,11:00~15:00,"시급8,590",12/14
부산 해운대,써브웨이 부산 센텀시티,17:00~22:00,"시급8,590",12/14
경기 부천시,써브웨이(SUBWAY) 부천 역곡역점,08:00~14:30,"시급8,600",12/13
경기 부천시,써브웨이 SUBWAY 부천역곡역점,07:30~16:00,"연봉24,000,000",12/13
경기 부천시,써브웨이(SUBWAY) 부천 역곡역점,08:00~14:30,"시급8,600",12/12
대구 달성군,써브웨이 대구다사점,시간협의,"시급8,720",12/12
대구 달성군,써브웨이 대구다사점,시간협의,"시급8,720",12/11
서울 관악구,서브웨이 서초법원점,17:00~22:00,"시급8,590",12/11
충남 천안시,써브웨이 두정점,07:30~16:00,"월급2,000,000",12/10
인천 전체,써브웨이 SUBWAY 부천역곡역점,07:30~16:00,"연봉24,000,000",12/09
부산 부산진,써브웨이 부산 서면롯데점,07:00~14:00,"시급8,590",12/08
경기 부천시,써브웨이 SUBWAY 부천역곡역점,07:30~16:00,"연봉24,000,000",12/07
서울 강남구,서브웨이 역삼초교점,11:00~15:00,"시급8,590",12/07
경기 수원시,써브웨이 광교경기대후문점,19:00~22:00,"시급8,590",12/07
서울 금천구,써브웨이 가산디지털단지점,18:00~23:00,"시급8,590",12/06
서울 용산구,써브웨이 용산 아스테리움점,11:30~14:00,"시급8,590",12/06
경기 수원시,써브웨이 광교경기대후문점,19:00~22:00,"시급8,590",12/05
