place,title,time,pay,date
울산 전체,아워홈 세진중공업울산점,시간협의,"시급8,720",37분전
경기 안산시,아워홈 엘에스오토모티브안산2,09:00~18:30,"시급8,720",3시간전
부산 동구,아워홈 LG유플러스초량사옥부산점,08:00~14:30,"시급8,720",4시간전
경기 고양시,아워홈 일산차병원산후조리원점,05:00~14:00,"시급10,400",6시간전
인천 전체,아워홈 정부합동청사인천점,09:00~14:30,"시급8,720",7시간전
서울 전체,아워홈 대상상봉점,06:30~14:00,"시급8,720",7시간전
경기 고양시,아워홈 명지병원일산점,11:30~20:30,"시급8,720",7시간전
대구 북구,근로복지공단대구병원점,시간협의,"시급8,720",11시간전
경남 창원시,아워홈 덴소코리아창원점,시간협의,"시급8,590",11시간전
인천 전체,아워홈 대동도어송도점,09:00~18:00,"시급8,720",13시간전
경남 양산시,양산공장지원파트,08:30~17:30,"시급8,590",14시간전
서울 강서구,아워홈 마곡식품연구센터점,10:00~19:00,"시급8,590",14시간전
경북 경주시,우영산업경주점,16:30~21:00,"시급9,000",12/20
경기 평택시,아워홈 LG전자기술원평택점,06:00~15:00,"시급10,000",12/20
서울 전체,아워홈 LG트윈타워점,07:00~16:00,"시급8,720",12/20
서울 전체,아워홈 LG트윈타워점,07:00~16:00,"시급8,720",12/20
전북 전체,아워홈 나래식품임실점,09:00~15:30,"시급8,720",12/20
전북 임실군,아워홈 나래식품임실점,09:00~15:30,"시급8,720",12/20
경기 성남시,아워홈 네오트랜스분당점,09:00~15:00,"시급8,590",12/20
경기 화성시,아워홈 삼지전자동탄점,07:00~15:00,"시급8,590",12/20
경기 안양시,아워홈 LS타워안양점,09:00~14:00,"시급10,400",12/19
경기 안양시,아워홈 LS타워안양점,06:00~14:00,"연봉26,000,000",12/19
경기 수원시,아워홈 이춘택병원수원점,09:30~18:30,"시급8,720",12/19
서울 구로구,아워홈 고려수요양병원구로점,10:00~19:00,"일급69,760",12/19
대구 달서구,아워홈 오성대구점,10:00~14:30,"시급8,590",12/19
경기 파주시,아워홈 연세나을암요양병원파주점,10:00~19:00,"시급8,720",12/19
경북 구미시,아워홈 LG이노텍구미3점,09:00~18:30,"월급2,300,000",12/19
서울 전체,아워홈 용산구청점,10:30~19:30,"시급8,590",12/19
경북 구미시,아워홈 LS전선구미점,09:00~14:00,"시급8,720",12/18
충북 청주시,아워홈 매그나칩반도체청주점,08:00~17:00,"월급1,800,000",12/18
광주 광산구,아워홈 세방전지광주점,23:00~01:00,"시급10,000",12/18
경기 김포시,아워홈 빅손김포점,09:30~15:00,"시급8,720",12/18
경기 안성시,아워홈 코리아에프티안성점,17:00~02:00,"일급76,000",12/15
경기 안성시,아워홈 코리아에프티안성점,09:00~14:30,"시급10,000",12/15
경기 화성시,아워홈 노블아이병원동탄점,10:00~19:00,"시급8,590",12/14
서울 전체,아워홈 LG트윈타워점,07:00~16:00,"시급8,590",12/14
서울 전체,아워홈 LG트윈타워점,07:00~16:00,"시급8,590",12/13
경남 김해시,아워홈 넥센김해점,09:00~14:30,"시급8,590",12/13
충남 아산시,아워홈 이엔에프테크놀로지아산점,22:00~02:00,"월급1,300,000",12/13
대구 달서구,아워홈 동산의료원장례식장성서점,09:00~18:00,"시급8,590",12/13
경북 구미시,아워홈 LGD구미1공장복지동점,시간협의,"시급8,590",12/13
경기 화성시,아워홈 쏘나브이피씨화성점,08:00~19:00,"시급8,800",12/13
부산 중구,아워홈 LG유플러스부산중앙점,07:30~16:30,"시급8,720",12/11
경기 화성시,아워홈 삼지전자동탄점,09:00~19:00,"시급8,590",12/11
경기 파주시,아워홈 연세나을암요양병원파주점,10:00~19:00,"시급8,590",12/11
제주 제주시,아워홈 제주한라병원점,05:30~14:30,"시급8,590",12/10
제주 제주시,아워홈 제주한라병원점,05:30~14:00,"시급8,590",12/10
세종 연서면,아워홈 삼양냉동세종점,07:00~15:00,"시급10,000",12/08
충북 청주시,아워홈 매그나칩반도체청주점,09:00~15:00,"시급8,590",12/08
충북 청주시,아워홈 매그나칩반도체청주점,08:30~14:30,"시급8,590",12/08
경기 성남시,아워홈 실리콘파크분당점,시간협의,"시급8,590",12/08
인천 전체,아워홈 인천공항랜드서편점,06:00~14:30,"시급8,590",12/07
경기 평택시,아워홈 LG전자기술원평택점,06:00~15:00,"시급8,590",12/06
경남 창원시,아워홈 LG전자창원1점,21:30~24:30,"시급8,590",12/06
경남 창원시,아워홈 LG전자창원1점,08:00~17:00,"일급68,720",12/06
서울 동작구,아워홈 유한양행동작점,07:00~15:00,"일급63,000",12/05
충남 공주시,아워홈 애터미공주점,16:00~20:00,"시급9,000",12/05
서울 강서구,아워홈 마곡조은책신사고점,06:00~19:30,"시급8,590",12/05
경기 수원시,아워홈 이춘택병원수원점,09:30~18:30,"시급8,590",12/05
서울 구로구,아워홈 고려수요양병원구로점,09:30~19:00,"일급77,000",12/05
