place,title,time,pay,date
경기 여주시,폴바셋 신세계여주아울렛점,08:00~22:00,"시급8,800",1시간전
경기 의정부,폴바셋 신세계 의정부점,09:00~21:30,"시급8,800",1시간전
경기 안성시,폴바셋 스타필드안성점,08:00~23:00,"시급8,800",1시간전
서울 강남구,폴바셋 NC타워삼성점,06:30~22:00,"시급8,800",2시간전
서울 전체,폴바셋 현대디큐브시티점,09:00~23:00,"시급8,800",4시간전
서울 강동구,폴바셋 현대백화점천호점,08:30~21:30,"시급8,800",9시간전
서울 영등포,폴바셋 롯데마트 양평점,09:00~23:00,"시급8,800",12/18
서울 관악구,폴바셋 NC타워삼성점,06:30~22:00,"시급8,800",12/18
서울 강남구,폴바셋 NC타워삼성점,06:30~22:00,"시급8,800",12/18
경기 성남시,폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",12/17
서울 종로구,폴바셋 종각역점,07:00~23:00,"시급8,800",12/15
경기 성남시,폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",12/15
경기 성남시,폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",12/13
경기 성남시,폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",12/13
서울 관악구,폴바셋 NC타워삼성점,06:30~22:00,"시급8,800",12/12
서울 강남구,폴바셋 NC타워삼성점,06:30~22:00,"시급8,800",12/12
서울 전체,폴바셋 롯데월드몰점,07:00~23:00,"시급8,800",12/11
충북 청주시,폴바셋 현대백화점충청점,07:00~23:00,"시급8,600",12/09
서울 서초구,폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",12/08
경기 성남시,폴바셋 스타필드시티위례점,09:00~23:00,"시급8,800",12/07
