place,title,time,pay,date
부산 전체,윈윈파트너 [부산]TDS3,시간협의,"건별3,000",47분전
부산 전체,윈윈파트너 [부산]TDS3,시간협의,"건별3,000",47분전
부산 전체,윈윈파트너 [부산]TDS3,시간협의,"건별3,000",48분전
부산 수영구,윈윈파트너 [부산바다콜1호점],:  ~  :,"건별3,000",53분전
부산 수영구,윈윈파트너 [부산바다콜1호점],:  ~  :,"건별3,000",53분전
부산 수영구,윈윈파트너 [부산바다콜1호점],시간협의,"건별3,000",53분전
부산 동래구,윈윈파트너 [부산동래구]동래점,시간협의,"건별3,000",2시간전
부산 동래구,윈윈파트너 [부산동래구]동래점,시간협의,"건별3,000",2시간전
부산 동래구,윈윈파트너 [부산동래구]동래점,시간협의,"건별3,000",2시간전
부산 북구,윈윈파트너 [부산북구]북구점,:  ~  :,"건별3,000",2시간전
부산 북구,윈윈파트너 [부산북구]북구점,:  ~  :,"건별3,000",2시간전
부산 북구,윈윈파트너 [부산북구]북구점,:  ~  :,"건별3,000",2시간전
부산 동래구,윈윈파트너 [부산동래구]안락2호점,:  ~  :,"건별3,000",2시간전
부산 동래구,윈윈파트너 [부산동래구]안락2호점,:  ~  :,"건별3,000",2시간전
부산 동래구,윈윈파트너 [부산동래구]안락2호점,:  ~  :,"건별3,000",2시간전
인천 전체,윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",2시간전
부산 북구,윈윈파트너 [부산]TDS2(지원팀),시간협의,"건별3,000",3시간전
부산 북구,윈윈파트너 [부산]TDS2(지원팀),시간협의,"건별3,000",3시간전
부산 북구,윈윈파트너 [부산]TDS2(지원팀),시간협의,"건별3,000",3시간전
부산 북구,윈윈파트너 [부산북구]3호점,시간협의,"건별3,000",3시간전
부산 북구,윈윈파트너 [부산북구]3호점,시간협의,"건별3,000",3시간전
부산 북구,윈윈파트너 [부산북구]3호점,시간협의,"건별3,000",3시간전
부산 전체,윈윈파트너 [부산연제구]연산2호점,시간협의,"건별3,000",3시간전
부산 전체,윈윈파트너 [부산연제구]연산2호점,시간협의,"건별3,000",3시간전
부산 전체,윈윈파트너 [부산연제구]연산2호점,시간협의,"건별3,000",3시간전
부산 남구,윈윈파트너 [부산남구]대연1호점,시간협의,"월급3,500,000",3시간전
부산 남구,윈윈파트너 [부산남구]대연1호점,시간협의,"월급3,500,000",3시간전
부산 남구,윈윈파트너 [부산남구]대연1호점,시간협의,"월급3,500,000",3시간전
인천 남동구,윈윈파트너 [인천남동구]만수점,시간협의,"일급150,000",4시간전
부산 전체,윈윈파트너 [부산연제구]연산1호점,시간협의,"일급200,000",4시간전
부산 전체,윈윈파트너 [부산연제구]연산1호점,시간협의,"월급4,000,000",4시간전
부산 전체,윈윈파트너 [부산연제구]연산1호점,시간협의,"건별3,000",4시간전
부산 수영구,윈윈파트너 [부산바다콜2호점],시간협의,"일급150,000",4시간전
부산 전체,윈윈파트너 [부산남구]대연3호점,09:00~24:00,"일급150,000",4시간전
부산 전체,윈윈파트너 [부산남구]대연3호점,09:00~24:00,"일급150,000",4시간전
부산 전체,윈윈파트너 [부산남구]대연3호점,09:00~24:00,"일급150,000",4시간전
부산 전체,윈윈파트너 윈윈파트너 대연4팀,시간협의,"일급120,000",5시간전
부산 수영구,윈윈파트너 [부산바다콜2호점],시간협의,"일급150,000",5시간전
부산 수영구,윈윈파트너 [부산바다콜2호점],시간협의,"일급150,000",6시간전
대구 달서구,윈윈파트너 [대구달서구]상인지사,시간협의,"일급150,000",6시간전
부산 전체,윈윈파트너 윈윈파트너 대연4팀,시간협의,"일급120,000",6시간전
부산 전체,윈윈파트너 윈윈파트너 대연4팀,시간협의,"일급120,000",6시간전
부산 남구,윈윈파트너 [부산남구]대연2호점,시간협의,"월급3,500,000",6시간전
부산 남구,윈윈파트너 [부산남구]대연2호점,시간협의,"일급150,000",6시간전
부산 남구,윈윈파트너 [부산남구]대연2호점,시간협의,"월급4,000,000",6시간전
인천 미추홀,윈윈파트너 [인천미추홀구]용현남부점,시간협의,"일급200,000",6시간전
인천 남동구,윈윈파트너 [인천남동구]만수점,시간협의,"일급150,000",6시간전
부산 전체,윈윈파트너 [부산남구수영4호점],:  ~  :,"월급3,500,000",6시간전
부산 전체,윈윈파트너 [부산남구수영4호점],:  ~  :,"월급3,500,000",6시간전
부산 전체,윈윈파트너 [부산남구수영4호점],:  ~  :,"월급3,500,000",6시간전
인천 전체,윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",7시간전
부산 수영구,윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",7시간전
부산 연제구,윈윈파트너 [부산연제구]아시아드점,시간협의,"일급200,000",7시간전
부산 연제구,윈윈파트너 [부산연제구]아시아드점,시간협의,"일급200,000",7시간전
부산 연제구,윈윈파트너 [부산연제구]아시아드점,시간협의,"일급200,000",7시간전
인천 전체,윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",8시간전
인천 남동구,윈윈파트너 [인천남동구]만수점,시간협의,"일급150,000",8시간전
인천 남동구,윈윈파트너 [인천남동구]구월점,시간협의,"일급200,000",10시간전
부산 전체,윈윈파트너 [부산남구]남구점,시간협의,"건별3,000",10시간전
부산 전체,윈윈파트너 [부산남구]남구점,시간협의,"일급150,000",10시간전
부산 전체,윈윈파트너 [부산남구]남구점,시간협의,"건별3,000",10시간전
부산 남구,윈윈파트너 [부산남구]용호1호점,시간협의,"건별3,000",10시간전
부산 남구,윈윈파트너 [부산남구]용호1호점,시간협의,"월급4,000,000",10시간전
부산 전체,윈윈파트너 [부산남구]용호1호점,시간협의,"일급200,000",10시간전
부산 남구,윈윈파트너 [부산남구]용당감만점,시간협의,"월급4,500,000",11시간전
부산 전체,윈윈파트너 [부산남구]용당감만점,시간협의,"일급160,000",11시간전
부산 남구,윈윈파트너 [부산남구]용당감만점,시간협의,"건별3,000",11시간전
인천 남동구,윈윈파트너 [인천남동구]주안북부점,시간협의,"일급200,000",12/20
부산 연제구,윈윈파트너 [부산연제구]토곡2호점,10:00~02:00,"일급200,000",12/14
부산 연제구,윈윈파트너 [부산연제구]토곡2호점,10:00~02:00,"일급200,000",12/14
부산 연제구,윈윈파트너 [부산연제구]토곡2호점,10:00~02:00,"일급200,000",12/14
부산 수영구,윈윈파트너 [부산]TDS1(프리팀),시간협의,"건별3,000",12/14
부산 수영구,윈윈파트너 [부산]TDS1(프리팀),시간협의,"건별3,000",12/14
부산 수영구,윈윈파트너 [부산]TDS1(프리팀),시간협의,"건별3,000",12/14
부산 동래구,윈윈파트너 [부산동래구]안락1호점,시간협의,"건별3,000",12/14
부산 동래구,윈윈파트너 [부산동래구]안락1호점,시간협의,"건별3,000",12/14
