place,title,time,pay,date
경기 수원시,일미리금계찜닭 수원성균관대점,10:00~22:00,"월급2,700,000",12/19
경기 수원시,일미리금계찜닭 수원성균관대점,10:00~22:00,"월급2,700,000",12/19
경기 수원시,일미리금계찜닭 수원성균관대점,10:00~22:00,"월급2,700,000",12/19
경기 수원시,일미리금계찜닭 수원성균관대점,10:00~22:00,"월급2,700,000",12/19
경기 수원시,일미리금계찜닭 수원성균관대점,10:00~22:00,"월급2,700,000",12/19
충북 충주시,일미리금계찜닭 연수점,17:00~21:00,"시급8,600",12/19
충북 충주시,일미리금계찜닭 연수점,17:00~21:00,"시급8,600",12/19
충북 충주시,일미리금계찜닭 연수점,17:00~21:00,"시급8,600",12/19
충북 충주시,일미리금계찜닭 연수점,17:00~21:00,"시급8,600",12/19
충북 충주시,일미리금계찜닭 연수점,17:00~21:00,"시급8,600",12/19
서울 영등포,일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",12/19
서울 영등포,일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",12/19
서울 영등포,일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",12/19
서울 영등포,일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",12/19
서울 영등포,일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",12/19
서울 서대문,일미리금계찜닭 가재울점,:  ~  :,"시급9,000",12/19
서울 서대문,일미리금계찜닭 가재울점,:  ~  :,"시급9,000",12/19
서울 서대문,일미리금계찜닭 가재울점,:  ~  :,"시급9,000",12/19
서울 서대문,일미리금계찜닭 가재울점,:  ~  :,"시급9,000",12/19
서울 서대문,일미리금계찜닭 가재울점,시간협의,"시급9,000",12/19
