place,title,time,pay,date
대구 수성구,커피스미스 대구수성레이크점,24:00~08:00,"시급8,590",2시간전
대구 수성구,커피스미스 대구수성레이크점,24:00~08:00,"시급8,590",6시간전
대구 수성구,커피스미스 대구수성레이크점,24:00~08:00,"시급8,590",6시간전
대구 수성구,커피스미스 대구수성레이크점,24:00~08:00,"시급8,590",6시간전
부산 남구,커피스미스 경성대점,09:00~02:00,"시급8,590",12/19
부산 남구,커피스미스 경성대점,09:00~02:00,"시급8,590",12/19
부산 남구,커피스미스 경성대점,21:00~02:00,"시급8,720",12/19
부산 남구,커피스미스 경성대점,21:00~02:00,"시급8,720",12/19
부산 남구,커피스미스 경성대점,21:00~02:00,"시급8,720",12/19
광주 북구,커피스미스 광주전남대점,18:00~02:00,"월급1,800,000",12/13
광주 북구,커피스미스 광주전남대점,18:00~02:00,"월급1,800,000",12/13
광주 북구,커피스미스 광주전남대점,18:00~02:00,"월급1,800,000",12/13
광주 북구,커피스미스 광주전남대점,18:00~02:00,"월급1,800,000",12/13
광주 북구,커피스미스 광주전남대점,18:00~02:00,"월급1,800,000",12/13
서울 중구,커피스미스 회현역티마크호텔점,:  ~  :,"월급1,852,000",12/13
서울 중구,커피스미스 회현역티마크호텔점,:  ~  :,"월급1,852,000",12/13
서울 중구,커피스미스 회현역티마크호텔점,:  ~  :,"월급1,852,000",12/13
서울 중구,커피스미스 회현역티마크호텔점,:  ~  :,"월급1,852,000",12/13
경기 이천시,커피스미스 이천로데오점,14:00~24:00,"월급2,150,000",12/13
경기 이천시,커피스미스 이천로데오점,14:00~24:00,"월급2,150,000",12/13
경기 이천시,커피스미스 이천로데오점,14:00~24:00,"월급2,150,000",12/13
경기 이천시,커피스미스 이천로데오점,14:00~24:00,"월급2,150,000",12/13
