place,title,time,pay,date
경기 안양시,한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,720",4시간전
경기 수원시,한경기획 청년다방 수원장안구청점,22:00~23:00,"시급9,000",5시간전
경기 평택시,한경기획 청년다방 평택청북점,10:30~09:30,"시급10,000",6시간전
서울 노원구,한경기획 청년다방 노원역점,12:00~23:00,"월급2,200,000",12/19
충남 아산시,한경기획 청년다방 아산터미널점,17:00~21:00,"시급8,600",12/19
경기 성남시,한경기획 청년다방 판교테크노밸리점,시간협의,"월급2,500,000",12/19
경기 고양시,한경기획 고양향동점,10:00~15:00,"시급9,000",12/18
강원 강릉시,한경기획 청년다방 강릉금학점,시간협의,"시급8,590",12/18
인천 부평구,한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",12/18
강원 강릉시,한경기획 청년다방 강릉금학점,10:30~22:30,"시급10,000",12/18
인천 부평구,한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",12/15
인천 부평구,한경기획 청년다방 인천삼산점,18:00~22:00,"시급8,590",12/15
인천 중구,한경기획 청년다방 영종하늘도시점,10:00~22:00,"월급2,500,000",12/14
서울 서대문,한경기획 청년다방 가재울점,11:00~22:00,"월급2,200,000",12/11
충북 청주시,한경기획 청년다방 청주지웰시티점,17:00~22:00,"시급8,590",12/10
전북 군산시,한경기획 군산미장점,17:00~22:00,"시급8,590",12/09
강원 강릉시,한경기획 청년다방 강릉금학점,10:30~22:30,"시급10,000",12/06
충남 홍성군,한경기획 청년다방 홍성내포점,10:00~22:00,"월급2,300,000",12/05
