place,title,time,pay,date
부산 강서구,(주)신세계엘앤비,12:00~20:00,"일급85,000",1시간전
서울 강남구,(주)신세계엘앤비,10:30~20:30,"시급11,000",2시간전
서울 서초구,(주)신세계엘앤비,10:30~20:30,"시급11,000",2시간전
경기 안성시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
경기 평택시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
경기 시흥시,(주)신세계엘앤비,13:00~21:00,"시급11,000",3시간전
경기 안산시,(주)신세계엘앤비,13:00~21:00,"시급11,000",3시간전
인천 남동구,(주)신세계엘앤비,13:00~21:00,"시급11,000",3시간전
서울 강남구,(주)신세계엘앤비,13:00~21:00,"시급11,000",3시간전
경기 파주시,(주)신세계엘앤비,13:00~21:00,"일급85,000",3시간전
경기 파주시,(주)신세계엘앤비,13:00~21:00,"일급85,000",3시간전
서울 동작구,(주)신세계엘앤비,12:00~20:00,"시급11,000",3시간전
서울 동작구,(주)신세계엘앤비,12:00~20:00,"시급11,000",3시간전
경기 성남시,(주)신세계엘앤비,14:00~22:00,"시급11,000",4시간전
서울 강남구,(주)신세계엘앤비,14:00~22:00,"시급11,000",4시간전
서울 동작구,(주)신세계엘앤비,14:00~22:00,"시급11,000",4시간전
부산 해운대,(주)신세계엘앤비,12:00~20:00,"일급77,000",8시간전
서울 서대문,(주)신세계엘앤비,13:00~21:00,"일급85,000",8시간전
서울 종로구,(주)신세계엘앤비,13:00~21:00,"일급85,000",8시간전
서울 중구,(주)신세계엘앤비,13:00~21:00,"일급85,000",8시간전
인천 남동구,(주)신세계엘앤비,13:00~21:00,"시급11,000",8시간전
경기 안산시,(주)신세계엘앤비,13:00~21:00,"시급11,000",8시간전
경기 시흥시,(주)신세계엘앤비,13:00~21:00,"시급11,000",8시간전
서울 강남구,(주)신세계엘앤비,13:00~21:00,"시급11,000",12/19
서울 서초구,(주)신세계엘앤비,12:00~20:00,"시급11,000",12/08
