place,title,time,pay,date
서울 강남구,(주)우아한청년들,12:00~21:00,"시급9,000",2시간전
서울 금천구,(주)우아한청년들,12:00~21:00,"시급9,000",2시간전
서울 강서구,(주)우아한청년들,12:00~21:00,"시급9,000",2시간전
서울 중랑구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 용산구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",6시간전
서울 성동구,(주)우아한청년들,12:00~21:00,"시급9,000",8시간전
서울 강서구,(주)우아한청년들,12:00~21:00,"시급9,000",8시간전
서울 금천구,(주)우아한청년들,12:00~21:00,"시급9,000",8시간전
서울 강남구,(주)우아한청년들,12:00~21:00,"시급9,000",8시간전
서울 중랑구,(주)우아한청년들,시간협의,"시급8,590",12/20
서울 송파구,(주)우아한청년들,00:00~24:00,"시급8,590",12/20
서울 용산구,(주)우아한청년들,00:00~24:00,"시급8,590",12/20
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",12/20
서울 강남구,(주)우아한청년들,00:00~24:00,"시급8,590",12/20
