place,title,time,pay,date
경남 김해시,7번가피자 김해내외동점,18:00~22:00,"시급10,000",49분전
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",2시간전
서울 전체,7번가피자방배사당점,11:00~22:30,"시급10,400",3시간전
경남 창원시,7번가피자 석동점,17:00~23:00,"시급9,000",3시간전
서울 마포구,7번가피자 서교망원점,시간협의,"시급10,500",4시간전
충북 청주시,7번가피자  용암점,시간협의,"월급2,500,000",4시간전
충북 청주시,7번가피자 율량점,18:00~23:00,"시급9,000",4시간전
대전 서구,7번가피자 관저점,시간협의,"시급10,000",4시간전
경남 창원시,7번가피자 석동점,17:00~23:00,"시급9,000",4시간전
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",4시간전
세종 전체,7번가피자 세종(청사)점,11:00~23:30,"시급11,000",5시간전
서울 동대문,7번가피자 장안점,15:00~22:00,"시급9,000",6시간전
서울 동대문,7번가피자 장안점,15:00~22:00,"시급9,000",6시간전
경기 용인시,7번가피자 동백점,17:00~22:00,"시급8,700",6시간전
서울 동대문,7번가피자 장안점,15:00~22:00,"시급9,000",6시간전
충북 청주시,7번가피자 율량점,18:00~23:00,"시급9,000",6시간전
서울 서초구,칠번가피자  서초교대점,11:00~22:00,"월급2,200,000",6시간전
경기 고양시,7번가피자 화정점,10:30~22:30,"월급2,800,000",7시간전
충북 청주시,7번가피자  용암점,시간협의,"월급2,500,000",8시간전
강원 원주시,7번가피자 기업도시점,17:00~22:00,"시급9,000",9시간전
대전 서구,7번가피자 관저점,시간협의,"시급10,000",10시간전
서울 구로구,(주)연푸드딜리버리,11:00~24:00,"월급5,000,000",12시간전
서울 구로구,(주)연푸드딜리버리,11:00~24:00,"월급3,500,000",12시간전
서울 구로구,(주)연푸드딜리버리,11:00~24:00,"월급5,000,000",12시간전
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",13시간전
경기 용인시,7번가피자 동백점,17:00~22:00,"시급11,000",23시간전
충북 청주시,7번가피자  용암점,11:00~23:00,"월급2,500,000",12/20
대전 서구,7번가피자 관저점,시간협의,"시급10,000",12/20
세종 아름동,7번가피자 세종(청사)점,11:00~23:30,"시급11,000",12/20
서울 동대문,7번가피자 장안점,15:00~22:00,"시급9,000",12/19
대구 북구,7번가피자 칠곡점,18:00~23:00,"시급9,500",12/19
충북 청주시,7번가피자 율량점,18:00~23:00,"시급9,000",12/19
서울 동대문,7번가피자 장안점,15:00~22:00,"시급9,000",12/19
서울 서초구,칠번가피자  서초교대점,11:00~22:00,"월급2,200,000",12/19
경기 용인시,7번가피자 동백점,17:00~22:00,"시급11,000",12/18
경기 남양주,7번가피자마석점,18:00~22:00,"시급9,000",12/18
충북 청주시,7번가피자  용암점,12:00~23:00,"시급9,000",12/18
충북 청주시,7번가피자 율량점,11:00~23:00,"월급2,500,000",12/18
서울 노원구,7번가 피자 상계점,11:00~23:00,"주급700,000",12/18
서울 노원구,7번가 피자 상계점,11:00~23:00,"월급3,000,000",12/18
경기 고양시,7번가피자 화정점,10:30~22:30,"월급2,800,000",12/17
충북 청주시,7번가피자 율량점,11:00~23:00,"월급2,500,000",12/17
충북 청주시,7번가피자  용암점,12:00~23:00,"시급9,000",12/17
대전 전체,7번가피자 노은점,11:00~23:30,"시급11,000",12/16
경남 창원시,7번가피자 석동점,17:00~23:00,"시급9,000",12/16
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",12/16
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",12/15
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",12/14
대전 전체,7번가피자 노은점,11:30~20:30,"시급11,000",12/13
서울 강서구,7번가피자(화곡목동점),11:00~24:00,"시급8,590",12/11
전남 목포시,7번가피자하당점,11:00~24:00,"시급8,590",12/11
전남 목포시,7번가피자하당점,11:00~24:00,"시급8,590",12/11
전남 목포시,7번가피자하당점,11:00~24:00,"시급8,590",12/11
전남 목포시,7번가피자하당점,11:00~24:00,"시급8,590",12/11
전남 목포시,7번가피자하당점,11:00~24:00,"시급8,590",12/11
대전 전체,7번가피자 노은점,11:00~23:30,"시급11,000",12/10
서울 전체,7번가피자방배사당점,11:00~22:30,"월급2,500,000",12/10
경남 창원시,7번가피자 석동점,17:00~23:00,"시급9,000",12/09
경기 성남시,7번가피자 수내정자점,17:30~22:30,"시급8,590",12/08
경기 수원시,7번가피자 정자점,17:00~11:00,"시급8,590",12/07
경기 성남시,7번가피자 수내정자점,18:00~22:30,"시급8,590",12/07
전남 순천시,7번가피자 순천호수공원점,17:00~22:00,"시급8,800",12/06
경남 창원시,7번가피자 석동점,17:00~23:00,"시급9,000",12/06
대전 유성구,7번가피자 노은점,11:00~23:30,"시급10,000",12/05
