place,title,time,pay,date
대구 중구,형제복덕방,시간협의,"월급3,000,000",17분전
대구 수성구,nupc희망점,00:00~24:00,"시급8,590",17분전
대구 수성구,nupc희망점,00:00~24:00,"시급8,590",17분전
대구 수성구,nupc본점,24:00~00:00,"시급8,590",17분전
대구 서구,수 BAR,08:00~04:00,"시급40,000",17분전
전북 전주시,로얄pc플레이스,시간협의,"시급8,590",17분전
충북 청주시,피씨태그（ＰＣＴＡＧ）,21:00~04:00,"시급8,590",17분전
전남 무안군,대동집 남악점,20:00~03:00,"시급9,000",17분전
서울 전체,큰맘할매순대국,09:30~13:30,"시급9,500",17분전
대구 서구,수 BAR,시간협의,"시급40,000",1시간전
대구 서구,수 BAR,시간협의,"시급40,000",1시간전
서울 강남구,청담 오후,11:00~14:00,"시급10,000",1시간전
서울 강남구,청담 오후,11:00~14:00,"시급10,000",1시간전
대구 전체,낙산가든,10:00~22:00,"월급2,700,000",1시간전
서울 강동구,차림고수,10:30~21:30,"월급2,500,000",1시간전
부산 부산진,초밥먹고갈래?,09:00~21:20,"월급2,600,000",1시간전
부산 부산진,초밥먹고갈래?,09:00~21:20,"월급2,600,000",1시간전
서울 송파구,명품횡성한우,10:00~21:00,"월급2,800,000",1시간전
울산 남구,배달대행,11:00~00:00,"건별3,000",1시간전
인천 연수구,오지아뜰리에(Aussie Atelier),08:30~17:00,"월급1,900,000",2시간전
대구 달서구,생각대로용산점,10:00~24:00,"월급3,500,000",3시간전
대전 전체,참숯향생선구이,18:00~20:00,"시급9,000",3시간전
대구 달서구,생각대로용산점,10:00~24:00,"월급3,500,000",3시간전
대구 달서구,생각대로용산점,10:00~24:00,"월급3,500,000",3시간전
부산 강서구,궁잔기지떡 강서점,08:30~12:30,"시급8,590",3시간전
경기 오산시,메가엠씨커피오산원동,17:00~22:00,"시급9,500",3시간전
서울 서초구,주식회사 아이엔오에스,09:00~18:00,"월급2,200,000",3시간전
경기 용인시,이에스 로지스틱스,08:30~12:30,"시급10,000",3시간전
경기 용인시,이에스 로지스틱스,08:30~12:30,"시급10,000",3시간전
경기 용인시,이에스 로지스틱스,08:30~12:30,"시급10,000",3시간전
부산 부산진,아지외삼,17:00~02:00,"월급2,000,000",4시간전
서울 강남구,청담 오후,11:00~14:00,"시급10,000",4시간전
전남 여수시,피자알볼로 여수엑스포점,11:00~23:00,"시급8,590",4시간전
전남 여수시,피자알볼로 여수엑스포점,11:00~23:00,"시급8,590",4시간전
전남 여수시,피자알볼로 여수엑스포점,11:00~23:00,"시급8,590",4시간전
경기 성남시,주식회사모든직업,09:00~18:00,"월급2,150,000",4시간전
서울 송파구,스파이더배달대행,시간협의,"일급200,000",4시간전
서울 송파구,스파이더배달대행,시간협의,"일급200,000",4시간전
서울 송파구,스파이더배달대행,시간협의,"일급200,000",4시간전
서울 종로구,이스포츠(e-sports)pc방,08:00~14:00,"시급8,800",4시간전
경기 남양주,푸라닭 도농역점,15:00~23:00,"시급9,000",5시간전
서울 강동구,차림고수,10:30~21:30,"월급2,500,000",5시간전
전북 전주시,로얄pc플레이스,시간협의,"시급8,590",6시간전
대구 달서구,라라코스트 용산점,10:30~21:30,"시급8,590",6시간전
대구 달서구,라라코스트 용산점,10:30~21:30,"시급8,590",6시간전
대구 달서구,라라코스트 용산점,10:30~21:30,"시급8,590",6시간전
서울 강동구,차림고수,10:30~22:00,"월급2,500,000",6시간전
전남 광양시,경성주막1929(광양중마점),20:00~03:00,"시급8,590",6시간전
경기 남양주,푸라닭 도농역점,00:00~00:10,"시급9,000",7시간전
인천 전체,청라부동산친구 공인중개사 사무소,10:00~19:00,"연봉120,000,000",7시간전
강원 춘천시,올레PC방(2호점),00:00~09:00,"시급8,590",7시간전
전북 전체,아이라인뷰티,11:00~21:00,"시급8,590",8시간전
전북 전체,아이라인뷰티,11:00~21:00,"시급8,590",8시간전
강원 강릉시,라이또PC강릉유천점,23:00~07:00,"시급8,590",9시간전
경기 용인시,이화수,10:00~22:00,"월급2,700,000",10시간전
경기 양평군,우리woori parking,08:00~18:00,"월급3,000,000",10시간전
전국 전체,우리woori parking,08:00~18:00,"월급3,000,000",10시간전
대전 유성구,바른콜,시간협의,"일급200,000",12/20
대전 유성구,바른콜,시간협의,"일급200,000",12/20
경북 구미시,대게#,12:00~22:00,"월급2,200,000",12/20
대구 중구,형제복덕방,시간협의,"월급3,000,000",12/20
대구 중구,형제복덕방,시간협의,"월급4,000,000",12/20
충북 청주시,샹떼PC방 오창중앙점,시간협의,"시급8,590",12/20
전국 전체,우리woori parking,08:00~18:00,"월급3,000,000",12/20
대전 서구,SK텔레콤 가수원CGV,10:00~20:00,"월급2,800,000",12/20
대전 서구,SK텔레콤 가수원CGV,10:00~20:00,"월급2,800,000",12/20
대전 서구,SK텔레콤 가수원CGV,10:00~20:00,"월급28,000,000",12/20
충남 아산시,베스트잡,09:00~18:00,"일급130,000",12/19
경기 의정부,리수에노,17:00~00:00,"시급8,590",12/19
경기 용인시,이화수,10:00~22:00,"월급2,700,000",12/19
광주 북구,공유다배달대행 문흥지사,시간협의,"건별3,000",12/19
광주 북구,공유다배달대행 문흥지사,시간협의,"건별3,000",12/19
서울 전체,와인브라더스 (WINE BROTHERS),16:00~21:00,"시급10,000",12/18
부산 강서구,궁잔기지떡 강서점,08:30~12:30,"시급8,590",12/18
부산 강서구,궁잔기지떡 강서점,08:30~12:30,"시급8,590",12/18
대구 전체,낙산가든,10:00~22:00,"월급2,700,000",12/18
대전 서구,도안직영점,10:00~20:00,"월급2,800,000",12/18
대전 서구,도안직영점,10:00~20:00,"월급2,800,000",12/18
대전 서구,도안직영점,10:00~20:00,"월급2,800,000",12/18
전남 나주시,NINE9BAR,19:00~02:00,"일급70,000",12/17
서울 서대문,신촌 엘스터디카페,10:30~22:30,"시급8,590",12/17
강원 평창군,1975영계국수The등심,10:00~22:00,"월급2,300,000",12/17
강원 평창군,1975영계국수The등심,10:00~22:00,"월급2,300,000",12/17
경북 영주시,크크크PC방,17:00~00:00,"시급8,590",12/16
서울 강동구,청년부동산공인중개사사무소,11:00~18:00,"연봉40,000,000",12/15
서울 중구,주)가평상사,07:00~20:00,"월급3,000,000",12/15
경기 평택시,짜장마을,08:40~20:40,"월급3,100,000",12/15
경기 전체,쏠네일,10:30~20:30,"시급8,590",12/15
경기 전체,쏠네일,10:00~20:00,"연봉21,543,720",12/15
경기 전체,쏠네일,11:00~21:00,"월급1,795,310",12/15
인천 전체,청라부동산친구 공인중개사 사무소,10:00~19:00,"연봉21,543,720",12/14
경기 군포시,하나로퀵물류,09:00~19:00,"월급1,800,000",12/14
경북 영주시,크크크PC방,17:00~00:00,"시급8,590",12/14
인천 서구,치킨매니아 불로점,17:30~01:30,"시급8,600",12/14
대구 중구,미츠팡,16:00~02:00,"시급8,590",12/13
경기 성남시,프로(%),15:00~21:00,"월급5,000,000",12/13
