place,title,time,pay,date
대구 서구,CU 평리푸르지오점,00:00~07:00,"시급8,590",1분전
경기 성남시,CU 성남중앙프라자점,08:30~16:00,"시급8,590",1분전
인천 서구,CU 공촌경남점,22:00~08:00,"시급8,720",1분전
전남 여수시,CU 여수충무점,15:00~20:00,"시급8,720",1분전
경기 화성시,CU 동탄행복점,15:00~22:00,"시급8,720",2분전
경기 동두천,CU 동두천탑동점,18:00~24:00,"시급8,720",2분전
경기 이천시,CU 신규점,시간협의,"시급8,600",7분전
서울 중랑구,CU 면목본동점,23:00~09:00,"시급8,720",8분전
서울 강서구,CU 등촌오피스점,22:00~08:00,"시급8,720",8분전
전남 여수시,CU 여수충무점,02:00~09:00,"시급8,720",9분전
서울 노원구,CU 수락한신점,17:00~24:00,"시급8,590",9분전
경기 고양시,CU 관산삼거리점,09:00~18:00,"시급8,590",13분전
부산 사상구,CU 뉴학장중앙점,22:00~08:00,"시급8,720",13분전
부산 금정구,CU 장전블루점,16:00~23:00,"시급8,720",15분전
서울 동대문,CU 용두으뜸점,15:00~22:00,"시급8,720",15분전
인천 남동구,CU 구월석산로점,18:00~22:00,"시급8,590",18분전
제주 제주시,CU 제주신창점,01:00~07:00,"시급8,590",18분전
경기 파주시,CU 문산신원점,21:00~09:00,"시급8,590",19분전
경북 구미시,CU 구미골드클래스점,01:00~06:00,"시급8,720",19분전
경기 파주시,CU 문산신원점,21:00~09:00,"시급8,590",20분전
경기 남양주,CU 별내스마트점,15:00~22:00,"시급8,590",20분전
대전 전체,CU 대전대흥교점,23:00~09:00,"시급8,720",22분전
서울 서대문,CU 신촌세브란스병원점,15:00~23:00,"시급8,590",23분전
경기 성남시,CU 분당청솔점,18:00~23:00,"시급8,590",24분전
대구 수성구,CU 대구상동점,00:00~08:00,"시급8,720",24분전
대구 달서구,CU 성서선원대로점,19:00~23:00,"시급8,720",25분전
서울 영등포,CU 영등포삼환점,23:00~08:00,"시급8,720",25분전
대구 달서구,CU 성서선원대로점,19:00~23:00,"시급8,720",25분전
서울 영등포,CU 영등포삼환점,23:00~08:00,"시급8,720",25분전
경기 평택시,CU 평택통복삼성점,23:00~08:00,"시급8,590",25분전
경기 전체,CU 평택쇼핑타운점,17:00~01:00,"시급8,590",25분전
경기 평택시,CU 평택고덕하나점,24:00~07:00,"시급9,200",27분전
광주 광산구,CU 우산동산점,22:00~07:00,"시급8,720",28분전
경기 수원시,CU 삼성시티점,11:00~07:00,"시급8,590",28분전
경기 평택시,CU 평택숙성점,16:00~23:00,"시급8,720",29분전
서울 용산구,CU 신용산점,22:00~08:00,"시급8,590",31분전
경북 경산시,CU 진량공단점,16:00~22:00,"시급8,720",36분전
경기 화성시,CU 동탄파라곤점,24:00~08:00,"일급70,000",37분전
경기 화성시,CU 동탄타임스퀘어점,15:00~23:00,"시급8,720",38분전
서울 강서구,CU 공항단지점,15:00~22:00,"시급8,590",40분전
서울 동작구,CU 사당갯마을점,17:00~23:00,"시급8,720",42분전
서울 중랑구,CU 망우사랑점,10:00~17:00,"시급8,590",42분전
서울 성북구,CU 월곡키스트점,22:00~08:00,"시급8,720",42분전
대전 중구,CU 대전문창점,24:00~08:00,"시급8,590",43분전
전남 여수시,CU 여수전대점,23:00~05:30,"시급8,720",46분전
경기 용인시,CU 용인포곡점,14:00~16:00,"시급8,720",47분전
서울 은평구,CU 불광연서로점,23:00~07:00,"시급8,720",48분전
전남 순천시,CU 순천장천점,06:30~14:00,"시급8,720",48분전
전남 담양군,CU 담양백동주공점,15:00~19:00,"시급8,720",50분전
울산 북구,CU 울산염포상떼빌점,24:00~06:00,"시급8,720",51분전
부산 전체,CU 대신푸르지오점,18:00~22:00,"시급8,720",52분전
부산 전체,CU 대신푸르지오점,18:00~22:00,"시급8,720",52분전
경북 경산시,CU 경산사동팰리스점,18:00~24:00,"시급8,720",52분전
부산 전체,CU 대신푸르지오점,08:00~13:00,"시급8,720",52분전
부산 전체,CU 대신푸르지오점,08:00~13:00,"시급8,720",52분전
경북 경산시,CU 경산사동팰리스점,18:00~24:00,"시급8,720",52분전
경북 경산시,CU 경산사동팰리스점,23:00~07:00,"시급8,720",54분전
서울 성북구,CU 성북삼선점,07:00~16:00,"시급8,720",54분전
부산 부산진,CU 범천베르빌점,14:00~19:00,"시급8,720",55분전
서울 관악구,CU 신림행운점,08:00~13:00,"시급8,720",55분전
경기 성남시,CU 성남태평타운점,16:00~23:00,"시급8,590",56분전
경기 성남시,CU 분당그랑시아점,23:00~09:00,"시급8,720",56분전
충남 예산군,CU 덕산세심천점,06:00~21:00,"월급4,000,000",57분전
경기 이천시,CU 이천고담SK점,15:00~23:00,"시급8,720",58분전
경기 남양주,CU 광릉수목원점,12:00~19:00,"시급8,590",59분전
경기 군포시,CU 산본무궁화점,00:00~06:00,"시급8,720",1시간전
경기 군포시,CU 산본무궁화점,00:00~06:00,"시급8,720",1시간전
경남 창원시,CU 진해제일점,22:00~09:00,"시급8,590",1시간전
경북 구미시,CU 구미형곡공원로점,19:30~22:30,"시급8,590",1시간전
전남 목포시,CU 산정라인점,23:00~06:00,"시급8,590",1시간전
서울 송파구,CU 삼전백제점,23:00~08:00,"시급8,720",1시간전
경북 칠곡군,CU 왜관2번도로점,22:00~06:00,"시급8,720",1시간전
서울 관악구,CU 남부순환로점,09:00~22:00,"시급8,590",1시간전
경기 용인시,CU 양지파인점,17:00~22:00,"시급8,590",1시간전
경기 용인시,CU 기흥신갈점,01:00~08:00,"시급8,720",1시간전
경기 안양시,CU 안양센트럴헤센점,15:00~22:00,"시급8,720",1시간전
전북 군산시,CU 군산소룡칠성점,23:00~08:00,"시급8,960",1시간전
경기 안양시,CU 안양센트럴헤센점,08:00~15:00,"시급8,720",1시간전
인천 미추홀,CU 주안부성파인점,18:00~24:00,"시급8,720",1시간전
세종 전체,CU 세종가재마을1단지점,00:00~09:00,"시급8,720",1시간전
서울 송파구,CU 송파푸르지오1호점,22:00~08:00,"시급8,700",1시간전
서울 서대문,CU 명지대후문점,01:00~08:00,"시급8,590",1시간전
경기 수원시,CU 탑동하나점,23:00~06:00,"시급8,590",1시간전
