place,title,time,pay,date
광주 동구,GS리테일 H&B사업부문 충장대로점,11:00~14:30,"시급8,720",46분전
서울 서대문,(주)지에스리테일,18:30~21:30,"시급8,590",1시간전
전북 전체,(주)지에스리테일,15:00~19:30,"시급8,590",1시간전
전북 익산시,(주)지에스리테일,15:00~19:30,"시급8,590",2시간전
서울 전체,gs리테일 H&B랄라블라 건대2호점,16:30~23:00,"시급8,590",2시간전
경남 진주시,(주)지에스리테일,18:00~21:00,"시급8,590",3시간전
서울 전체,GS리테일 H&B / 양재역점,17:00~20:00,"시급8,590",12/15
서울 전체,(주)지에스리테일,11:00~14:30,"시급8,590",12/12
서울 전체,GS리테일 H&B / 양재역점,11:00~14:00,"시급8,590",12/12
광주 동구,(주)지에스리테일,13:00~17:30,"시급8,590",12/11
경기 성남시,(주)지에스리테일 랄라블라 신흥점,11:00~14:00,"시급8,590",12/09
서울 전체,GS리테일 H&B / 양재역점,17:00~20:00,"시급8,590",12/09
경기 성남시,(주)지에스리테일 랄라블라 신흥점,11:00~14:00,"시급8,590",12/07
서울 강서구,GS리테일 H&B 랄라블라,17:00~20:00,"시급8,590",12/05
