place,title,time,pay,date
경기 구리시,GS수퍼마켓 갈매중앙점,14:00~16:00,"시급8,720",7분전
경기 구리시,GS수퍼마켓 갈매중앙점,시간협의,"시급8,720",11분전
충북 청주시,GS수퍼마켓 청주점,09:00~16:00,"시급8,720",14분전
인천 남동구,GS수퍼마켓 인천도림점,시간협의,"시급8,720",44분전
경기 성남시,GS수퍼마켓 위례중앙점,09:00~13:30,"시급8,590",45분전
경기 평택시,GS수퍼마켓 평택동삭2점,18:00~23:00,"시급8,590",1시간전
경북 포항시,GS수퍼마켓 포항두호점,16:30~23:00,"시급8,720",1시간전
대구 달성군,GS수퍼마켓 죽곡점,08:30~14:00,"시급8,590",2시간전
충남 천안시,GS수퍼마켓 천안차암점,16:00~23:00,"시급8,590",2시간전
충북 청주시,GS수퍼마켓 청주점,시간협의,"시급8,720",2시간전
경북 예천군,GS수퍼마켓 도청호명점,시간협의,"시급8,720",2시간전
경기 의왕시,GS수퍼마켓 의왕오전점,시간협의,"시급8,720",2시간전
경기 의정부,GS수퍼마켓 의정부금오점,12:00~17:00,"시급8,720",2시간전
서울 전체,GS수퍼마켓 길음뉴타운점,08:00~23:00,"시급8,720",2시간전
서울 송파구,GS수퍼마켓 잠실파크리오점,시간협의,"시급8,590",3시간전
경기 용인시,GS수퍼마켓 수지풍덕천점,09:00~13:00,"시급8,590",3시간전
충남 천안시,GS수퍼마켓 천안차암점,16:00~23:00,"시급8,590",3시간전
부산 강서구,GS수퍼마켓 부산지사점,14:00~23:00,"월급1,900,000",3시간전
충북 청주시,GS수퍼마켓 청주오창점,18:00~23:00,"시급8,590",3시간전
충남 천안시,GS수퍼마켓 천안불당시티점,15:00~23:00,"시급8,720",3시간전
서울 전체,GS수퍼마켓 암사캐슬점,07:00~12:00,"시급10,000",3시간전
강원 원주시,GS수퍼마켓 원주혁신점,09:00~17:00,"시급8,720",3시간전
강원 원주시,GS수퍼마켓 원주혁신점,09:00~17:00,"시급8,720",3시간전
충북 충주시,GS수퍼마켓 충주용산점,14:00~21:00,"시급8,590",4시간전
경기 성남시,GS수퍼마켓 분당정자점,15:00~23:00,"시급8,590",4시간전
서울 송파구,GS수퍼마켓 잠실점,시간협의,"시급8,720",4시간전
서울 송파구,GS수퍼마켓 송파위례점,09:00~16:00,"시급8,720",4시간전
서울 송파구,GS수퍼마켓 송파위례점,08:30~12:30,"시급8,720",4시간전
울산 울주군,GS수퍼마켓 울산구영점,08:00~12:00,"시급8,590",4시간전
경기 의정부,GS수퍼마켓 의정부금오점,12:00~17:00,"시급8,720",4시간전
경기 의정부,GS수퍼마켓 의정부금오점,12:00~17:00,"시급8,720",4시간전
