place,title,time,pay,date
대구 달서구,마왕족발 대구월성점,14:00~24:00,"월급2,250,000",55분전
경기 성남시,마왕족발 정자점,15:00~24:00,"월급2,300,000",5시간전
경기 파주시,마왕족발 파주금릉역점,19:00~01:00,"시급9,100",12/20
경기 파주시,마왕족발 파주금릉역점,19:00~01:00,"시급9,100",12/20
경기 파주시,마왕족발 파주금릉역점,19:00~01:00,"시급9,100",12/20
광주 광산구,마왕족발 광주첨단점,15:00~01:00,"월급2,500,000",12/20
광주 광산구,마왕족발 광주첨단점,15:00~01:00,"월급2,500,000",12/20
광주 광산구,마왕족발 광주첨단점,15:00~01:00,"월급2,500,000",12/20
경기 파주시,마왕족발 파주금릉역점,19:00~01:00,"시급9,100",12/19
광주 광산구,마왕족발 광주첨단점,15:00~01:00,"월급2,500,000",12/19
서울 양천구,마왕족발 신정점,15:00~01:00,"월급2,000,000",12/19
서울 양천구,마왕족발 신정점,15:00~01:00,"월급2,000,000",12/19
서울 양천구,마왕족발 신정점,15:00~01:00,"월급2,000,000",12/19
서울 양천구,마왕족발 신정점,15:00~01:00,"월급2,000,000",12/19
전남 나주시,마왕족발 나주혁신도시점,15:00~24:00,"월급2,300,000",12/19
전남 나주시,마왕족발 나주혁신도시점,15:00~24:00,"월급2,300,000",12/19
전남 나주시,마왕족발 나주혁신도시점,15:00~24:00,"월급2,300,000",12/19
전남 나주시,마왕족발 나주혁신도시점,15:00~24:00,"월급2,300,000",12/19
인천 미추홀,마왕족발 인천용현점,15:00~23:00,"시급8,720",12/19
인천 미추홀,마왕족발 인천용현점,15:00~23:00,"시급8,600",12/19
인천 미추홀,마왕족발 인천용현점,15:00~24:00,"시급8,600",12/19
인천 미추홀,마왕족발 인천용현점,15:00~23:00,"시급8,720",12/19
경기 안양시,마왕족발 안양평촌점,17:00~22:00,"시급8,720",12/19
경기 안양시,마왕족발 안양평촌점,17:00~22:00,"시급8,720",12/19
경기 안양시,마왕족발 안양평촌점,17:00~22:00,"시급8,720",12/19
서울 송파구,마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",12/19
서울 송파구,마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",12/19
서울 송파구,마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",12/19
경기 화성시,마왕족발 화송반송점,15:00~24:00,"월급2,300,000",12/19
경기 화성시,마왕족발 화송반송점,15:00~24:00,"월급2,300,000",12/19
경기 화성시,마왕족발 화송반송점,15:00~24:00,"월급2,300,000",12/19
경기 성남시,마왕족발 정자점,15:00~24:00,"월급2,300,000",12/19
경기 성남시,마왕족발 정자점,15:00~24:00,"월급2,300,000",12/19
경기 성남시,마왕족발 정자점,15:00~24:00,"월급2,300,000",12/19
경기 성남시,마왕족발 정자점,15:00~24:00,"월급2,300,000",12/19
경기 화성시,마왕족발 화송반송점,15:00~24:00,"월급2,300,000",12/19
서울 송파구,마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",12/19
경기 부천시,마왕족발 부천본점,15:00~00:00,"월급2,400,000",12/17
경기 부천시,마왕족발 부천본점,16:00~01:00,"월급2,250,000",12/17
경기 부천시,마왕족발 부천본점,16:00~01:00,"월급2,500,000",12/17
경기 안양시,마왕족발 안양평촌점,17:00~22:00,"시급8,600",12/15
울산 남구,마왕족발 울산동구일산점,15:00~02:00,"월급2,500,000",12/13
경기 안양시,마왕족발 안양1번가점,:  ~  :,"시급9,380",12/13
경기 안양시,마왕족발 안양1번가점,:  ~  :,"시급9,380",12/13
경기 안양시,마왕족발 안양1번가점,:  ~  :,"시급9,380",12/13
경기 안양시,마왕족발 안양1번가점,:  ~  :,"시급9,380",12/13
울산 동구,마왕족발 울산동구일산점,시간협의,"월급2,500,000",12/13
울산 동구,마왕족발 울산동구일산점,15:00~02:40,"월급2,500,000",12/13
경남 밀양시,마왕족발 밀양점,17:00~22:00,"시급9,000",12/13
경남 밀양시,마왕족발 밀양점,17:00~22:00,"시급9,000",12/13
경남 밀양시,마왕족발 밀양점,17:00~22:00,"시급9,000",12/13
경기 부천시,마왕족발 부천본점,11:00~03:00,"시급8,590",12/13
인천 전체,마왕족발 인천연수점,15:00~01:00,"월급2,320,000",12/12
경남 밀양시,마왕족발 밀양점,17:00~22:00,"시급9,000",12/09
울산 동구,마왕족발 울산동구일산점,15:00~02:40,"월급2,500,000",12/08
경기 수원시,마왕족발 수원호매실점,17:00~21:00,"시급9,000",12/06
경기 수원시,마왕족발 수원호매실점,17:00~21:00,"시급9,000",12/06
경기 수원시,마왕족발 수원호매실점,17:00~21:00,"시급9,000",12/06
경기 수원시,마왕족발 수원호매실점,17:00~21:00,"시급9,000",12/06
