place,title,time,pay,date
서울 서초구,매드포갈릭 삼성타운점,12:00~21:00,"시급10,310",2시간전
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",4시간전
서울 서초구,매드포갈릭 예술의 전당점,시간협의,"시급10,310",5시간전
경기 성남시,매드포갈릭 분당서현점,12:00~21:00,"시급10,310",7시간전
경기 부천시,매드포갈릭 부천중동현대점,18:00~21:00,"시급10,550",12/19
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",12/17
서울 광진구,매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",12/16
경남 창원시,매드포갈릭 창원점,18:00~21:30,"시급10,310",12/16
대전 서구,매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",12/15
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",12/11
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",12/07
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",12/07
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",12/07
서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",12/06
서울 중구,매드포갈릭 센터원점,11:00~20:00,"시급10,310",12/05
