place,title,time,pay,date
서울 중구,미니스톱 사당역점,22:00~07:00,"시급9,000",5시간전
충남 전체,미니스톱 아산초원점,09:00~15:00,"시급8,720",6시간전
충남 전체,미니스톱 아산초원점,09:00~15:00,"시급8,720",6시간전
충남 전체,미니스톱 아산초원점,09:00~15:00,"시급8,720",6시간전
서울 중구,미니스톱 사당역점,07:00~14:00,"시급8,800",6시간전
서울 중구,미니스톱 사당역점,07:00~14:00,"시급8,800",6시간전
서울 중구,미니스톱 사당역점,07:00~14:00,"시급8,800",6시간전
서울 중구,미니스톱 사당역점,07:00~14:00,"시급8,800",12/18
충남 전체,미니스톱 아산초원점,09:00~15:00,"시급8,720",12/17
경기 용인시,미니스톱 용인외대점,14:00~19:00,"시급8,600",12/13
경기 용인시,미니스톱 용인외대점,14:00~19:00,"시급8,600",12/13
경기 용인시,미니스톱 용인외대점,14:00~19:00,"시급8,600",12/13
경기 용인시,미니스톱 용인외대점,14:00~19:00,"시급8,600",12/13
경기 용인시,미니스톱 용인외대점,14:00~19:00,"시급8,600",12/13
대전 서구,미니스톱 둔산타운점,18:00~23:00,"시급8,590",12/13
대전 서구,미니스톱 둔산타운점,18:00~23:00,"시급8,590",12/13
대전 서구,미니스톱 둔산타운점,18:00~23:00,"시급8,590",12/13
대전 서구,미니스톱 둔산타운점,18:00~23:00,"시급8,590",12/13
대전 서구,미니스톱 둔산타운점,18:00~23:00,"시급8,590",12/13
전남 여수시,미니스톱 여서부영점,19:00~22:30,"시급8,590",12/12
전남 여수시,미니스톱 여서부영점,19:00~22:30,"시급8,590",12/12
전남 여수시,미니스톱 여서부영점,19:00~22:30,"시급8,590",12/12
전남 여수시,미니스톱 여서부영점,19:00~22:30,"시급8,590",12/12
서울 중구,미니스톱 남산점,21:00~07:00,"시급8,590",12/12
서울 중구,미니스톱 남산점,21:00~07:00,"시급8,590",12/12
서울 중구,미니스톱 남산점,21:00~07:00,"시급8,590",12/12
서울 중구,미니스톱 남산점,21:00~07:00,"시급8,590",12/12
서울 강남구,미니스톱 테헤란로점,12:00~16:00,"시급8,600",12/12
서울 강남구,미니스톱 테헤란로점,12:00~16:00,"시급8,600",12/12
서울 강남구,미니스톱 테헤란로점,12:00~16:00,"시급8,600",12/12
서울 강남구,미니스톱 테헤란로점,12:00~16:00,"시급8,600",12/12
경남 창원시,미니스톱 창원서상점,:  ~  :,"시급8,590",12/12
경남 창원시,미니스톱 창원서상점,:  ~  :,"시급8,590",12/12
경남 창원시,미니스톱 창원서상점,:  ~  :,"시급8,590",12/12
경남 창원시,미니스톱 창원서상점,시간협의,"시급8,590",12/12
