place,title,time,pay,date
부산 해운대,더본코리아 홍콩반점0410 부산반여동,10:30~15:30,"시급8,720",7분전
경기 용인시,더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급8,720",10분전
경기 용인시,더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급2,200,000",12분전
서울 동대문,더본코리아 홍콩반점0410 외대점,09:30~20:30,"월급2,500,000",13분전
서울 광진구,더본코리아 역전우동0410 강변역점,04:00~23:00,"시급8,590",15분전
경남 창원시,홍콩반점0410 창원메트로시티점,17:00~19:30,"시급8,720",16분전
경기 수원시,더본코리아 홍콩반점0410 수원장안구,10:00~22:00,"시급8,800",22분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,16:00~23:00,"시급9,000",22분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,16:00~22:00,"시급9,000",23분전
서울 강남구,더본코리아 역전우동0410 방배점,08:30~15:30,"시급9,500",24분전
서울 성동구,더본코리아 역전우동0410 압구정역점,11:00~21:30,"월급2,500,000",25분전
서울 동작구,더본코리아 역전우동0410 압구정역점,11:00~21:30,"월급2,500,000",25분전
서울 강남구,더본코리아 역전우동0410 압구정역점,11:00~21:30,"월급2,500,000",25분전
충남 천안시,리춘시장 천안두정점,19:00~22:00,"시급9,000",26분전
서울 동대문,더본코리아 역전우동0410 압구정역점,11:00~21:30,"월급2,500,000",26분전
경기 수원시,더본코리아 홍콩반점0410 수원장안구,10:00~22:00,"월급2,800,000",27분전
경기 수원시,홍콩반점0410 아주대점,10:30~21:00,"월급2,500,000",28분전
대전 유성구,더본코리아 역전우동0410 충남대점,16:00~22:00,"시급8,720",28분전
경기 수원시,홍콩반점0410 아주대점,10:30~21:00,"월급2,500,000",28분전
서울 강남구,더본코리아 역전우동0410 압구정역점,10:30~18:00,"시급8,720",32분전
경기 시흥시,홍콩반점0410 시흥은계점,10:00~22:00,"월급2,500,000",38분전
서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급2,400,000",39분전
서울 마포구,더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,500,000",45분전
대전 서구,더본코리아 역전우동0410 대전탄방역,21:00~01:30,"월급1,250,000",53분전
울산 동구,더본코리아 홍콩반점0410 울산일산점,시간협의,"월급2,400,000",58분전
경기 성남시,홍콩반점0410 모란시장점,10:00~22:00,"월급2,800,000",1시간전
서울 영등포,더본코리아 홍콩반점0410 당산역점,10:00~22:00,"월급2,600,000",1시간전
서울 마포구,더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,500,000",1시간전
서울 전체,홍콩반점0410 약수역점,10:00~22:00,"월급2,700,000",1시간전
경기 남양주,더본코리아 홍콩반점0410 남양주별내,10:00~21:30,"월급2,300,000",1시간전
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,600,000",1시간전
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,400,000",1시간전
서울 강남구,더본코리아 역전우동0410 방배점,15:30~22:30,"시급9,500",1시간전
경기 성남시,홍콩반점0410 모란시장점,10:00~22:00,"월급2,800,000",1시간전
전북 전주시,롤링파스타 전주객사점,10:00~21:00,"월급2,300,000",2시간전
