place,title,time,pay,date
경기 안산시,신선화로 안산점(착한갈비),10:00~22:00,"월급3,000,000",12/19
경기 안산시,신선화로 안산점(착한갈비),10:00~22:00,"월급3,000,000",12/19
경기 안산시,신선화로 안산점(착한갈비),10:00~22:00,"월급3,000,000",12/19
경기 안산시,신선화로 안산점(착한갈비),10:00~22:00,"월급3,000,000",12/19
경기 안산시,신선화로 안산점(착한갈비),10:00~22:00,"월급3,000,000",12/19
인천 계양구,신선화로 착한에프씨,10:00~22:00,"연봉50,000,000",12/18
인천 미추홀,신선화로 착한에프씨,10:00~22:00,"연봉50,000,000",12/18
인천 미추홀,신선화로 착한에프씨,10:00~22:00,"연봉50,000,000",12/18
서울 마포구,신선화로 홍대점,10:00~10:00,"월급3,300,000",12/18
서울 마포구,신선화로 홍대점,10:00~10:00,"월급3,300,000",12/18
서울 마포구,신선화로 홍대점,10:00~10:00,"월급3,300,000",12/18
서울 마포구,신선화로 홍대점,10:00~10:00,"월급3,300,000",12/18
서울 마포구,신선화로 홍대점,10:00~10:00,"월급3,300,000",12/18
서울 마포구,신선화로 홍대점,11:00~06:00,"월급4,000,000",12/18
서울 영등포,신선화로 홍대점,11:00~06:00,"월급4,000,000",12/18
서울 양천구,신선화로 홍대점,11:00~06:00,"월급4,000,000",12/18
서울 중구,신선화로 홍대점,11:00~06:00,"월급4,000,000",12/18
서울 중구,신선화로 홍대점,11:00~06:00,"월급4,000,000",12/18
인천 미추홀,신선화로 인천시청점,10:00~22:00,"월급2,600,000",12/15
인천 부평구,신선화로 인천시청점,10:00~22:00,"월급2,600,000",12/15
인천 남동구,신선화로 인천시청점,10:00~22:00,"월급2,600,000",12/15
인천 남동구,신선화로 인천시청점,10:00~22:00,"월급2,600,000",12/15
인천 남동구,신선화로 인천시청점,10:00~22:00,"월급2,600,000",12/15
인천 계양구,신선화로 부평점,23:00~11:00,"월급3,000,000",12/15
인천 계양구,신선화로 부평점,23:00~11:00,"월급3,000,000",12/15
인천 계양구,신선화로 부평점,23:00~11:00,"월급3,000,000",12/15
인천 부평구,신선화로 부평점,23:00~11:00,"월급3,000,000",12/15
인천 부평구,신선화로 부평점,23:00~11:00,"월급3,000,000",12/15
인천 계양구,신선화로 부평점,23:00~11:00,"월급3,500,000",12/15
인천 계양구,신선화로 부평점,23:00~11:00,"월급3,500,000",12/15
인천 부평구,신선화로 부평점,23:00~11:00,"월급3,500,000",12/15
인천 부평구,신선화로 부평점,23:00~11:00,"월급3,500,000",12/15
인천 부평구,신선화로 부평점,23:00~11:00,"월급3,500,000",12/15
인천 미추홀,신선화로 본사,09:00~20:00,"연봉50,000,000",12/15
인천 미추홀,신선화로 본사,09:00~20:00,"연봉50,000,000",12/15
인천 부평구,신선화로 본사,09:00~20:00,"연봉40,000,000",12/15
인천 연수구,신선화로 본사,09:00~20:00,"연봉40,000,000",12/15
인천 미추홀,신선화로 본사,09:00~20:00,"연봉50,000,000",12/15
인천 부평구,신선화로 본사,09:00~22:00,"연봉30,000,000",12/15
인천 부평구,신선화로 본사,09:00~22:00,"연봉30,000,000",12/15
인천 부평구,신선화로 본사,09:00~19:00,"연봉50,000,000",12/15
서울 마포구,신선화로 본사,09:00~19:00,"연봉50,000,000",12/15
인천 전체,신선화로 본사,09:00~22:00,"연봉30,000,000",12/15
인천 미추홀,신선화로 착한에프씨,10:00~22:00,"연봉50,000,000",12/15
