place,title,time,pay,date
충남 계룡시,역전할머니맥주  충남 계룡엄사점,시간협의,"월급2,300,000",17분전
경기 용인시,역전할머니맥주 용인 보정점,17:00~02:00,"시급10,000",3시간전
경북 구미시,역전할머니맥주  구미 상모점,20:00~24:00,"시급8,720",4시간전
충남 천안시,역전할머니맥주  천안 불당점,17:00~02:00,"시급9,000",5시간전
경북 경산시,역전할머니맥주  경산 하양점,17:00~02:00,"시급8,800",6시간전
서울 성북구,역전할머니맥주  서울 성신여대점,15:00~02:00,"월급2,600,000",7시간전
부산 해운대,역전할머니맥주  부산 장산점,시간협의,"월급2,600,000",12/20
광주 북구,역전할머니맥주  광주 일곡점,시간협의,"시급8,720",12/20
대구 전체,역전할머니맥주  대구 지산점,18:30~02:30,"시급9,500",12/20
대구 전체,역전할머니맥주  대구 지산점,18:30~02:30,"시급9,500",12/20
대구 전체,역전할머니맥주  대구 지산점,17:00~03:00,"월급2,800,000",12/20
대구 전체,역전할머니맥주  대구 지산점,17:00~03:00,"월급2,800,000",12/20
대구 전체,역전할머니맥주  대구 지산점,17:00~03:00,"월급2,800,000",12/20
경남 창원시,역전할머니맥주  창원 상남점,19:00~05:00,"시급9,000",12/20
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",12/18
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",12/18
대구 달서구,역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",12/18
서울 양천구,역전할머니맥주  서울 목동로데오점,시간협의,"월급2,000,000",12/18
경기 평택시,역전할머니맥주  평택 포승점,17:00~03:00,"시급9,000",12/13
경기 평택시,역전할머니맥주  평택 포승점,17:00~03:00,"시급9,000",12/12
경북 경산시,역전할머니맥주  경산 하양점,17:00~02:00,"시급8,700",12/12
서울 성동구,역전할머니맥주  서울 한양대점,시간협의,"시급10,000",12/11
충남 천안시,역전할머니맥주  천안 불당점,17:00~02:00,"시급9,000",12/10
울산 중구,역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",12/09
울산 중구,역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",12/09
충남 논산시,역전할머니맥주  논산 취암점,19:00~01:00,"시급8,590",12/08
충남 논산시,역전할머니맥주  논산 취암점,19:00~01:00,"시급8,590",12/08
경기 평택시,역전할머니맥주  평택 포승점,17:00~03:00,"시급9,000",12/08
인천 부평구,역전할머니맥주  인천 동암점,16:00~04:00,"월급2,600,000",12/08
경기 평택시,역전할머니맥주  평택 포승점,17:00~03:00,"시급9,000",12/07
부산 강서구,역전할머니맥주 부산 명지포스코점,시간협의,"시급8,590",12/07
충남 천안시,역전할머니맥주  천안 성성점,20:00~02:30,"시급8,900",12/07
충남 보령시,역전할머니맥주  보령 동대점,20:00~03:00,"시급9,500",12/07
부산 기장군,역전할머니맥주  부산 정관점,08:00~12:00,"시급9,000",12/07
세종 전체,역전할머니맥주  세종 조치원점,시간협의,"시급9,000",12/06
전남 순천시,역전할머니맥주  순천 오천점,시간협의,"시급8,590",12/05
충북 청주시,역전할머니맥주  청주 강서지구점,17:00~03:00,"월급2,000,000",12/05
경남 김해시,역전할머니맥주  김해 인제대점,시간협의,"시급8,600",12/05
