place,title,time,pay,date
광주 북구,할리스커피 광주북구청점,18:00~24:00,"시급8,590",1시간전
부산 금정구,할리스커피 부산금강식물원점,09:00~23:00,"월급1,950,000",1시간전
대전 서구,할리스커피 대전만년점,시간협의,"시급8,590",2시간전
서울 영등포,할리스커피 보라매역점,시간협의,"시급8,800",3시간전
경남 창원시,할리스커피 할리스 진해속천점,09:00~18:00,"연봉24,000,000",3시간전
부산 중구,할리스커피 부산BIFF광장점,09:00~24:00,"시급8,590",4시간전
부산 중구,할리스커피 부산BIFF광장점,09:00~24:00,"시급8,590",5시간전
강원 원주시,할리스커피 원주단계택지점,17:00~24:00,"시급8,720",8시간전
경남 창원시,할리스커피 할리스 진해속천점,09:00~18:00,"연봉24,000,000",12/18
인천 남동구,할리스커피 인천소래역점,17:30~24:00,"시급8,590",12/18
광주 북구,할리스커피 광주문흥점,20:00~24:00,"시급8,590",12/16
광주 북구,할리스커피 광주문흥점,08:00~14:00,"시급8,720",12/16
부산 중구,할리스커피 부산중앙역점,11:00~14:00,"시급8,590",12/14
대구 전체,할리스커피 대구반야월점,시간협의,"월급2,000,000",12/14
부산 금정구,할리스커피 부산대역점,16:00~20:00,"시급8,720",12/13
인천 남동구,할리스커피 인천소래역점,17:30~24:00,"시급8,590",12/12
대전 서구,할리스커피 대전만년점,시간협의,"시급8,590",12/10
경남 양산시,할리스커피 양산석산점,12:00~16:30,"시급8,590",12/08
