place,title,time,pay,date
제주 제주시,호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",28분전
제주 제주시,호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",28분전
제주 제주시,호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",28분전
제주 제주시,호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",28분전
인천 서구,호식이두마리치킨 청라1호점,18:00~21:00,"시급8,720",1시간전
대구 수성구,호식이두마리치킨 대구중동점,18:00~22:00,"시급9,000",3시간전
인천 서구,호식이두마리치킨 인천마전점,18:00~23:00,"시급9,000",4시간전
경기 성남시,호식이두마리치킨 야탑점,17:00~22:00,"시급10,000",4시간전
충남 아산시,호식이두마리치킨 배방점,16:00~24:00,"시급9,000",5시간전
충남 아산시,호식이두마리치킨 배방점,16:00~24:00,"시급9,000",5시간전
인천 서구,호식이두마리치킨 인천마전점,18:00~23:00,"시급9,000",6시간전
경기 남양주,호식이두마리치킨 별내2호점,18:00~23:00,"시급9,000",8시간전
경기 남양주,호식이두마리치킨 창현점,시간협의,"시급10,000",8시간전
서울 관악구,호식이두마리치킨 신림점,15:00~03:00,"월급3,200,000",19시간전
제주 제주시,호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",12/20
부산 동래구,호식이두마리치킨 사직점,17:00~22:00,"시급9,000",12/19
경기 평택시,포승점,18:00~24:00,"시급8,800",12/19
경기 평택시,포승점,18:00~24:00,"시급8,800",12/19
경기 남양주,호식이두마리치킨 진접금곡점,18:00~22:00,"시급8,720",12/18
인천 계양구,호식이두마리치킨 작전1호점,22:00~04:00,"시급9,000",12/18
서울 구로구,호식이두마리치킨 대림점,17:00~03:00,"월급2,400,000",12/18
서울 영등포,호식이두마리치킨 신길1호점,11:00~05:00,"시급8,720",12/18
서울 영등포,호식이두마리치킨 대림점,18:00~24:00,"시급10,000",12/18
전남 순천시,호식이두마리치킨 조례점,17:00~24:00,"시급10,000",12/17
서울 영등포,호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",12/17
서울 영등포,호식이두마리치킨 신길1호점,18:00~22:00,"시급8,590",12/16
서울 영등포,호식이두마리치킨 신길1호점,17:00~03:00,"월급2,700,000",12/16
서울 동작구,호식이두마리치킨 신길1호점,11:00~16:00,"시급11,000",12/16
서울 영등포,호식이두마리치킨 신길1호점,18:00~22:00,"시급8,590",12/16
부산 사하구,호식이두마리치킨 괴정점,17:00~22:00,"시급10,000",12/14
부산 남구,호식이두마리치킨 용호점,17:00~22:00,"시급8,590",12/13
부산 남구,호식이두마리치킨 용호점,17:00~22:00,"시급8,590",12/13
경기 남양주,호식이두마리치킨 별내1호점,12:00~22:00,"시급8,590",12/11
전남 순천시,호식이두마리치킨 순천대점,18:00~21:00,"시급8,800",12/11
경기 성남시,호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,500",12/09
경기 성남시,호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,500",12/09
경기 성남시,호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",12/09
경기 성남시,호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",12/09
경기 성남시,호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",12/09
인천 서구,호식이두마리치킨 인천연희점,18:00~24:00,"시급8,590",12/09
서울 송파구,호식이두마리치킨 송파위례점,17:00~22:00,"시급9,000",12/08
대구 수성구,호식이두마리치킨 시지1호점,17:00~22:00,"시급9,000",12/08
부산 남구,호식이두마리치킨 용호점,17:00~22:00,"시급8,590",12/07
서울 관악구,호식이두마리치킨 대학점,16:00~02:00,"월급2,700,000",12/07
경기 안산시,호식이두마리치킨 본오1호점,18:00~21:00,"시급8,590",12/06
인천 부평구,호식이두마리치킨 삼산1호점,17:00~21:00,"시급8,590",12/06
인천 서구,호식이두마리치킨 인천연희점,18:00~24:00,"시급8,590",12/06
전남 영암군,호식이두마리치킨 대불점,17:00~22:00,"시급8,590",12/06
경기 평택시,호식이두마리치킨 비전점,17:00~22:00,"시급8,590",12/06
인천 남동구,호식이두마리치킨 인천서창점,18:00~22:00,"시급9,000",12/06
인천 남동구,호식이두마리치킨 인천서창점,18:00~22:00,"시급9,000",12/06
인천 남동구,호식이두마리치킨 인천서창점,18:00~22:00,"시급9,000",12/06
서울 관악구,호식이두마리치킨 신림점,17:00~03:00,"월급2,700,000",12/06
경기 남양주,호식이두마리치킨 별내2호점,18:00~23:00,"시급9,000",12/05
인천 서구,호식이두마리치킨 신현점,18:00~23:00,"시급8,590",12/05
경기 안산시,호식이두마리치킨 사동1호점,18:00~22:00,"시급9,000",12/05
