place,title,time,pay,date
서울 강남구,홈플러스 익스프레스 도곡2점,10:00~16:00,"월급1,343,000",20분전
인천 남동구,홈플러스 익스프레스 인천논현점,17:00~24:00,"시급8,590",54분전
인천 남동구,홈플러스 익스프레스 인천논현점,17:00~24:00,"시급8,590",58분전
경기 파주시,홈플러스 익스프레스 파주와동점,15:00~22:00,"시급8,720",2시간전
경기 성남시,홈플러스 익스프레스 이매점,08:00~14:00,"월급1,341,000",5시간전
경기 성남시,홈플러스 익스프레스 분당점,11:00~17:00,"월급1,348,630",5시간전
경기 성남시,홈플러스 익스프레스 분당점,15:00~21:00,"월급1,348,630",5시간전
경기 용인시,홈플러스 익스프레스 용인죽전점,18:00~24:00,"시급8,720",6시간전
경기 성남시,홈플러스 익스프레스 수진점,08:00~14:00,"시급8,720",7시간전
서울 양천구,홈플러스 익스프레스 목동점,시간협의,"시급8,720",7시간전
경기 광명시,홈플러스 익스프레스 광명점,시간협의,"시급8,590",7시간전
경기 용인시,홈플러스 익스프레스 보정점,18:00~24:00,"월급1,348,630",8시간전
서울 은평구,홈플러스 익스프레스 신사점,07:00~14:00,"월급1,614,920",13시간전
경기 파주시,홈플러스 익스프레스 파주와동점,15:00~22:00,"시급8,720",18시간전
경기 군포시,홈플러스 익스프레스 군포오금점,17:00~24:00,"시급8,720",12/20
서울 중랑구,홈플러스 익스프레스 면목점,13:00~17:00,"시급8,720",12/20
충남 천안시,홈플러스 익스프레스 천안신방점,14:00~20:00,"시급8,720",12/20
경기 안양시,홈플러스 익스프레스 안양호계점,18:00~24:00,"시급8,590",12/19
경기 고양시,홈플러스 익스프레스 고양중산점,17:00~24:00,"시급8,590",12/19
인천 남동구,홈플러스 익스프레스 인천논현점,17:00~24:00,"시급8,590",12/19
인천 남동구,홈플러스 익스프레스 인천논현점,18:00~24:00,"시급8,590",12/19
경기 성남시,홈플러스 익스프레스 분당서판교점,08:00~15:00,"월급1,614,920",12/19
경기 성남시,홈플러스 익스프레스 푸른마을점,12:00~18:00,"월급1,348,630",12/15
경기 성남시,홈플러스 익스프레스 푸른마을점,08:00~15:00,"월급1,614,920",12/15
경기 성남시,홈플러스 익스프레스 푸른마을점,07:00~13:00,"월급1,348,630",12/15
서울 광진구,홈플러스 익스프레스 중곡점,16:00~22:00,"월급1,348,630",12/12
충남 천안시,홈플러스 익스프레스 천안신방점,14:00~20:00,"시급8,590",12/12
충남 천안시,홈플러스 익스프레스 천안신방점,14:00~20:00,"시급8,590",12/09
경기 성남시,홈플러스 익스프레스 분당정자점,18:00~24:00,"시급8,590",12/07
경기 성남시,홈플러스 익스프레스 푸른마을점,07:00~13:00,"월급1,348,630",12/07
경기 성남시,홈플러스 익스프레스 푸른마을점,08:00~15:00,"월급1,614,920",12/07
